countryname,iso3,year,region,protracted_crisis,variable,unit,value_precise,value_fixed
Benin,BEN,2021,Sub-Saharan Africa,"",CCA_Share,percentage_share,3.42%,3.42
Benin,BEN,2022,Sub-Saharan Africa,"",CCA_Share,percentage_share,4.12%,4.12
Burkina Faso,BFA,2017,Sub-Saharan Africa,yes,CCA_Share,percentage_share,1.97%,1.97
Burkina Faso,BFA,2018,Sub-Saharan Africa,yes,CCA_Share,percentage_share,1.07%,1.07
Burkina Faso,BFA,2019,Sub-Saharan Africa,yes,CCA_Share,percentage_share,2.11%,2.11
Burkina Faso,BFA,2020,Sub-Saharan Africa,yes,CCA_Share,percentage_share,2.32%,2.32
Burkina Faso,BFA,2021,Sub-Saharan Africa,yes,CCA_Share,percentage_share,2.91%,2.91
Burkina Faso,BFA,2022,Sub-Saharan Africa,yes,CCA_Share,percentage_share,2.05%,2.05
Bangladesh,BGD,2017,South Asia,"",CCA_Share,percentage_share,5.18%,5.18
Bangladesh,BGD,2018,South Asia,"",CCA_Share,percentage_share,6.29%,6.29
Bangladesh,BGD,2019,South Asia,"",CCA_Share,percentage_share,1.33%,1.33
Bangladesh,BGD,2020,South Asia,yes,CCA_Share,percentage_share,0.99%,0.99
Bangladesh,BGD,2021,South Asia,yes,CCA_Share,percentage_share,0.6%,0.6
Bangladesh,BGD,2022,South Asia,yes,CCA_Share,percentage_share,0.75%,0.75
Bosnia and Herzegovina,BIH,2017,Europe & Central Asia,"",CCA_Share,percentage_share,0.06%,0.06
Bosnia and Herzegovina,BIH,2018,Europe & Central Asia,"",CCA_Share,percentage_share,0.06%,0.06
Bosnia and Herzegovina,BIH,2019,Europe & Central Asia,"",CCA_Share,percentage_share,0.01%,0.01
Bosnia and Herzegovina,BIH,2020,Europe & Central Asia,"",CCA_Share,percentage_share,0%,0
Bosnia and Herzegovina,BIH,2021,Europe & Central Asia,"",CCA_Share,percentage_share,0%,0
Bosnia and Herzegovina,BIH,2022,Europe & Central Asia,"",CCA_Share,percentage_share,0%,0
Belarus,BLR,2017,Europe & Central Asia,"",CCA_Share,percentage_share,0.02%,0.02
Belarus,BLR,2018,Europe & Central Asia,"",CCA_Share,percentage_share,0.01%,0.01
Belarus,BLR,2019,Europe & Central Asia,"",CCA_Share,percentage_share,0%,0
Belarus,BLR,2020,Europe & Central Asia,"",CCA_Share,percentage_share,0.01%,0.01
Belarus,BLR,2021,Europe & Central Asia,"",CCA_Share,percentage_share,0.05%,0.05
Belarus,BLR,2022,Europe & Central Asia,"",CCA_Share,percentage_share,0%,0
Belize,BLZ,2017,Latin America & Caribbean,"",CCA_Share,percentage_share,0.91%,0.91
Belize,BLZ,2018,Latin America & Caribbean,"",CCA_Share,percentage_share,3.51%,3.51
Belize,BLZ,2019,Latin America & Caribbean,"",CCA_Share,percentage_share,3.19%,3.19
Belize,BLZ,2020,Latin America & Caribbean,"",CCA_Share,percentage_share,0.69%,0.69
Belize,BLZ,2021,Latin America & Caribbean,"",CCA_Share,percentage_share,0.5%,0.5
Belize,BLZ,2022,Latin America & Caribbean,"",CCA_Share,percentage_share,0.63%,0.63
Bolivia,BOL,2017,Latin America & Caribbean,"",CCA_Share,percentage_share,14.48%,14.48
Bolivia,BOL,2018,Latin America & Caribbean,"",CCA_Share,percentage_share,5.17%,5.17
Bolivia,BOL,2019,Latin America & Caribbean,"",CCA_Share,percentage_share,7.09%,7.09
Bolivia,BOL,2020,Latin America & Caribbean,"",CCA_Share,percentage_share,7.68%,7.68
Bolivia,BOL,2021,Latin America & Caribbean,"",CCA_Share,percentage_share,4.67%,4.67
Bolivia,BOL,2022,Latin America & Caribbean,"",CCA_Share,percentage_share,8.59%,8.59
Brazil,BRA,2017,Latin America & Caribbean,"",CCA_Share,percentage_share,0.47%,0.47
Brazil,BRA,2018,Latin America & Caribbean,"",CCA_Share,percentage_share,0.46%,0.46
Brazil,BRA,2019,Latin America & Caribbean,"",CCA_Share,percentage_share,0.5%,0.5
Brazil,BRA,2020,Latin America & Caribbean,"",CCA_Share,percentage_share,1.04%,1.04
Brazil,BRA,2021,Latin America & Caribbean,"",CCA_Share,percentage_share,0.17%,0.17
Brazil,BRA,2022,Latin America & Caribbean,yes,CCA_Share,percentage_share,1.41%,1.41
Bhutan,BTN,2017,South Asia,"",CCA_Share,percentage_share,1.91%,1.91
Bhutan,BTN,2018,South Asia,"",CCA_Share,percentage_share,6.86%,6.86
Bhutan,BTN,2019,South Asia,"",CCA_Share,percentage_share,7.11%,7.11
Bhutan,BTN,2020,South Asia,"",CCA_Share,percentage_share,4.57%,4.57
Bhutan,BTN,2021,South Asia,"",CCA_Share,percentage_share,0.45%,0.45
Bhutan,BTN,2022,South Asia,"",CCA_Share,percentage_share,0.83%,0.83
Botswana,BWA,2017,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Botswana,BWA,2018,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.03%,0.03
Botswana,BWA,2019,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Botswana,BWA,2020,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Botswana,BWA,2021,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.05%,0.05
Botswana,BWA,2022,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.43%,0.43
Central African Republic,CAF,2017,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0%,0
Central African Republic,CAF,2018,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0%,0
Central African Republic,CAF,2019,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0%,0
Central African Republic,CAF,2020,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.01%,0.01
Central African Republic,CAF,2021,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.1%,0.1
Central African Republic,CAF,2022,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.6%,0.6
Chile,CHL,2017,Latin America & Caribbean,"",CCA_Share,percentage_share,0.55%,0.55
Chile,CHL,2018,Latin America & Caribbean,,CCA_Share,percentage_share,0%,0
Chile,CHL,2019,Latin America & Caribbean,,CCA_Share,percentage_share,0%,0
Chile,CHL,2020,Latin America & Caribbean,,CCA_Share,percentage_share,0%,0
Chile,CHL,2021,Latin America & Caribbean,,CCA_Share,percentage_share,0%,0
Chile,CHL,2022,Latin America & Caribbean,,CCA_Share,percentage_share,0%,0
China (People's Republic of),CHN,2017,East Asia & Pacific,"",CCA_Share,percentage_share,0.53%,0.53
China (People's Republic of),CHN,2018,East Asia & Pacific,"",CCA_Share,percentage_share,0.21%,0.21
China (People's Republic of),CHN,2019,East Asia & Pacific,"",CCA_Share,percentage_share,0.9%,0.9
China (People's Republic of),CHN,2020,East Asia & Pacific,"",CCA_Share,percentage_share,3.14%,3.14
China (People's Republic of),CHN,2021,East Asia & Pacific,"",CCA_Share,percentage_share,0.94%,0.94
China (People's Republic of),CHN,2022,East Asia & Pacific,"",CCA_Share,percentage_share,0.74%,0.74
Côte d'Ivoire,CIV,2017,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Côte d'Ivoire,CIV,2018,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Côte d'Ivoire,CIV,2019,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.23%,0.23
Côte d'Ivoire,CIV,2020,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.25%,0.25
Côte d'Ivoire,CIV,2021,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.84%,0.84
Côte d'Ivoire,CIV,2022,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.53%,0.53
Cameroon,CMR,2017,Sub-Saharan Africa,"",CCA_Share,percentage_share,1.81%,1.81
Cameroon,CMR,2018,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.06%,0.06
Cameroon,CMR,2019,Sub-Saharan Africa,yes,CCA_Share,percentage_share,4.17%,4.17
Cameroon,CMR,2020,Sub-Saharan Africa,yes,CCA_Share,percentage_share,1.42%,1.42
Cameroon,CMR,2021,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.62%,0.62
Cameroon,CMR,2022,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.45%,0.45
Democratic Republic of the Congo,COD,2017,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.17%,0.17
Democratic Republic of the Congo,COD,2018,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.08%,0.08
Democratic Republic of the Congo,COD,2019,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.28%,0.28
Democratic Republic of the Congo,COD,2020,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.14%,0.14
Democratic Republic of the Congo,COD,2021,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.22%,0.22
Democratic Republic of the Congo,COD,2022,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.28%,0.28
Congo,COG,2017,Sub-Saharan Africa,"",CCA_Share,percentage_share,2.57%,2.57
Congo,COG,2018,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0%,0
Congo,COG,2019,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.99%,0.99
Congo,COG,2020,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.91%,0.91
Congo,COG,2021,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.03%,0.03
Congo,COG,2022,Sub-Saharan Africa,yes,CCA_Share,percentage_share,0.03%,0.03
Cook Islands,COK,2017,East Asia & Pacific,"",CCA_Share,percentage_share,0.15%,0.15
Cook Islands,COK,2018,East Asia & Pacific,"",CCA_Share,percentage_share,3.92%,3.92
Cook Islands,COK,2019,East Asia & Pacific,"",CCA_Share,percentage_share,0%,0
Cook Islands,COK,2020,East Asia & Pacific,,CCA_Share,percentage_share,0%,0
Cook Islands,COK,2021,East Asia & Pacific,,CCA_Share,percentage_share,0%,0
Cook Islands,COK,2022,East Asia & Pacific,,CCA_Share,percentage_share,0%,0
Colombia,COL,2017,Latin America & Caribbean,"",CCA_Share,percentage_share,0.65%,0.65
Colombia,COL,2018,Latin America & Caribbean,"",CCA_Share,percentage_share,0.25%,0.25
Colombia,COL,2019,Latin America & Caribbean,"",CCA_Share,percentage_share,0.28%,0.28
Colombia,COL,2020,Latin America & Caribbean,"",CCA_Share,percentage_share,0.18%,0.18
Colombia,COL,2021,Latin America & Caribbean,"",CCA_Share,percentage_share,0.18%,0.18
Colombia,COL,2022,Latin America & Caribbean,yes,CCA_Share,percentage_share,0.12%,0.12
Comoros,COM,2017,Sub-Saharan Africa,"",CCA_Share,percentage_share,2.96%,2.96
Comoros,COM,2018,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.68%,0.68
Comoros,COM,2019,Sub-Saharan Africa,"",CCA_Share,percentage_share,1.55%,1.55
Comoros,COM,2020,Sub-Saharan Africa,"",CCA_Share,percentage_share,1.59%,1.59
Comoros,COM,2021,Sub-Saharan Africa,"",CCA_Share,percentage_share,3.76%,3.76
Comoros,COM,2022,Sub-Saharan Africa,"",CCA_Share,percentage_share,12.2%,12.2
Cabo Verde,CPV,2017,Sub-Saharan Africa,"",CCA_Share,percentage_share,11.78%,11.78
Cabo Verde,CPV,2018,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.99%,0.99
Cabo Verde,CPV,2019,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.39%,0.39
Cabo Verde,CPV,2020,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.45%,0.45
Cabo Verde,CPV,2021,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.66%,0.66
Cabo Verde,CPV,2022,Sub-Saharan Africa,"",CCA_Share,percentage_share,2.53%,2.53
Costa Rica,CRI,2017,Latin America & Caribbean,"",CCA_Share,percentage_share,0.1%,0.1
Costa Rica,CRI,2018,Latin America & Caribbean,"",CCA_Share,percentage_share,2.23%,2.23
Costa Rica,CRI,2019,Latin America & Caribbean,"",CCA_Share,percentage_share,1.2%,1.2
Costa Rica,CRI,2020,Latin America & Caribbean,"",CCA_Share,percentage_share,1.14%,1.14
Costa Rica,CRI,2021,Latin America & Caribbean,"",CCA_Share,percentage_share,0.88%,0.88
Costa Rica,CRI,2022,Latin America & Caribbean,yes,CCA_Share,percentage_share,0.13%,0.13
Cuba,CUB,2017,Latin America & Caribbean,"",CCA_Share,percentage_share,0.42%,0.42
Cuba,CUB,2018,Latin America & Caribbean,"",CCA_Share,percentage_share,1.1%,1.1
Cuba,CUB,2019,Latin America & Caribbean,"",CCA_Share,percentage_share,2.09%,2.09
Cuba,CUB,2020,Latin America & Caribbean,"",CCA_Share,percentage_share,4.13%,4.13
Cuba,CUB,2021,Latin America & Caribbean,"",CCA_Share,percentage_share,3.15%,3.15
Cuba,CUB,2022,Latin America & Caribbean,"",CCA_Share,percentage_share,1.02%,1.02
Djibouti,DJI,2017,Middle East & North Africa,yes,CCA_Share,percentage_share,0.27%,0.27
Djibouti,DJI,2018,Middle East & North Africa,"",CCA_Share,percentage_share,8.63%,8.63
Djibouti,DJI,2019,Middle East & North Africa,"",CCA_Share,percentage_share,9.14%,9.14
Djibouti,DJI,2020,Middle East & North Africa,"",CCA_Share,percentage_share,6.17%,6.17
Djibouti,DJI,2021,Middle East & North Africa,"",CCA_Share,percentage_share,6.56%,6.56
Djibouti,DJI,2022,Middle East & North Africa,"",CCA_Share,percentage_share,5.09%,5.09
Dominica,DMA,2017,Latin America & Caribbean,"",CCA_Share,percentage_share,0.85%,0.85
Dominica,DMA,2018,Latin America & Caribbean,"",CCA_Share,percentage_share,0%,0
Dominica,DMA,2019,Latin America & Caribbean,"",CCA_Share,percentage_share,1.85%,1.85
Dominica,DMA,2020,Latin America & Caribbean,"",CCA_Share,percentage_share,1.8%,1.8
Dominica,DMA,2021,Latin America & Caribbean,"",CCA_Share,percentage_share,1.05%,1.05
Dominica,DMA,2022,Latin America & Caribbean,"",CCA_Share,percentage_share,1.19%,1.19
Dominican Republic,DOM,2017,Latin America & Caribbean,"",CCA_Share,percentage_share,10.24%,10.24
Dominican Republic,DOM,2018,Latin America & Caribbean,"",CCA_Share,percentage_share,1.34%,1.34
Dominican Republic,DOM,2019,Latin America & Caribbean,"",CCA_Share,percentage_share,1.47%,1.47
Dominican Republic,DOM,2020,Latin America & Caribbean,"",CCA_Share,percentage_share,3.81%,3.81
Dominican Republic,DOM,2021,Latin America & Caribbean,yes,CCA_Share,percentage_share,10.02%,10.02
Dominican Republic,DOM,2022,Latin America & Caribbean,yes,CCA_Share,percentage_share,13.88%,13.88
Algeria,DZA,2017,Middle East & North Africa,"",CCA_Share,percentage_share,0.75%,0.75
Algeria,DZA,2018,Middle East & North Africa,"",CCA_Share,percentage_share,0.6%,0.6
Algeria,DZA,2019,Middle East & North Africa,"",CCA_Share,percentage_share,0.07%,0.07
Algeria,DZA,2020,Middle East & North Africa,"",CCA_Share,percentage_share,0.01%,0.01
Algeria,DZA,2021,Middle East & North Africa,"",CCA_Share,percentage_share,0.01%,0.01
Algeria,DZA,2022,Middle East & North Africa,"",CCA_Share,percentage_share,0.07%,0.07
Ecuador,ECU,2017,Latin America & Caribbean,"",CCA_Share,percentage_share,0.06%,0.06
Ecuador,ECU,2018,Latin America & Caribbean,"",CCA_Share,percentage_share,0.29%,0.29
Ecuador,ECU,2019,Latin America & Caribbean,"",CCA_Share,percentage_share,0.27%,0.27
Ecuador,ECU,2020,Latin America & Caribbean,"",CCA_Share,percentage_share,0.19%,0.19
Ecuador,ECU,2021,Latin America & Caribbean,"",CCA_Share,percentage_share,0.6%,0.6
Ecuador,ECU,2022,Latin America & Caribbean,yes,CCA_Share,percentage_share,1.42%,1.42
Egypt,EGY,2017,Middle East & North Africa,yes,CCA_Share,percentage_share,0.02%,0.02
Egypt,EGY,2018,Middle East & North Africa,yes,CCA_Share,percentage_share,0.11%,0.11
Egypt,EGY,2019,Middle East & North Africa,yes,CCA_Share,percentage_share,0.15%,0.15
Egypt,EGY,2020,Middle East & North Africa,yes,CCA_Share,percentage_share,0.12%,0.12
Egypt,EGY,2021,Middle East & North Africa,yes,CCA_Share,percentage_share,0.07%,0.07
Egypt,EGY,2022,Middle East & North Africa,yes,CCA_Share,percentage_share,1.38%,1.38
Eritrea,ERI,2017,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Eritrea,ERI,2018,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.52%,0.52
Eritrea,ERI,2019,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Eritrea,ERI,2020,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Eritrea,ERI,2021,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Eritrea,ERI,2022,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.3%,0.3
Ethiopia,ETH,2017,Sub-Saharan Africa,"",CCA_Share,percentage_share,1.07%,1.07
Ethiopia,ETH,2018,Sub-Saharan Africa,yes,CCA_Share,percentage_share,1%,1
Ethiopia,ETH,2019,Sub-Saharan Africa,yes,CCA_Share,percentage_share,1.38%,1.38
Ethiopia,ETH,2020,Sub-Saharan Africa,yes,CCA_Share,percentage_share,1.23%,1.23
Ethiopia,ETH,2021,Sub-Saharan Africa,yes,CCA_Share,percentage_share,1.13%,1.13
Ethiopia,ETH,2022,Sub-Saharan Africa,yes,CCA_Share,percentage_share,1.54%,1.54
Fiji,FJI,2017,East Asia & Pacific,"",CCA_Share,percentage_share,1.35%,1.35
Fiji,FJI,2018,East Asia & Pacific,"",CCA_Share,percentage_share,1.36%,1.36
Fiji,FJI,2019,East Asia & Pacific,"",CCA_Share,percentage_share,3.67%,3.67
Fiji,FJI,2020,East Asia & Pacific,"",CCA_Share,percentage_share,5.85%,5.85
Fiji,FJI,2021,East Asia & Pacific,"",CCA_Share,percentage_share,2.05%,2.05
Fiji,FJI,2022,East Asia & Pacific,"",CCA_Share,percentage_share,1.13%,1.13
Micronesia,FSM,2017,East Asia & Pacific,"",CCA_Share,percentage_share,1.31%,1.31
Micronesia,FSM,2018,East Asia & Pacific,"",CCA_Share,percentage_share,0.49%,0.49
Micronesia,FSM,2019,East Asia & Pacific,"",CCA_Share,percentage_share,0.27%,0.27
Micronesia,FSM,2020,East Asia & Pacific,"",CCA_Share,percentage_share,1.26%,1.26
Micronesia,FSM,2021,East Asia & Pacific,"",CCA_Share,percentage_share,2.39%,2.39
Micronesia,FSM,2022,East Asia & Pacific,"",CCA_Share,percentage_share,0.79%,0.79
Gabon,GAB,2017,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.12%,0.12
Gabon,GAB,2018,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Gabon,GAB,2019,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Gabon,GAB,2020,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.08%,0.08
Gabon,GAB,2021,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Gabon,GAB,2022,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.74%,0.74
Georgia,GEO,2017,Europe & Central Asia,"",CCA_Share,percentage_share,0.42%,0.42
Georgia,GEO,2018,Europe & Central Asia,"",CCA_Share,percentage_share,0.55%,0.55
Georgia,GEO,2019,Europe & Central Asia,"",CCA_Share,percentage_share,0.3%,0.3
Georgia,GEO,2020,Europe & Central Asia,"",CCA_Share,percentage_share,0.15%,0.15
Georgia,GEO,2021,Europe & Central Asia,"",CCA_Share,percentage_share,0.05%,0.05
Georgia,GEO,2022,Europe & Central Asia,"",CCA_Share,percentage_share,0.15%,0.15
Ghana,GHA,2017,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.63%,0.63
Ghana,GHA,2018,Sub-Saharan Africa,"",CCA_Share,percentage_share,1.55%,1.55
Ghana,GHA,2019,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.95%,0.95
Ghana,GHA,2020,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.15%,0.15
Ghana,GHA,2021,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.48%,0.48
Ghana,GHA,2022,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.84%,0.84
Guinea,GIN,2017,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Guinea,GIN,2018,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Guinea,GIN,2019,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.18%,0.18
Guinea,GIN,2020,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.28%,0.28
Guinea,GIN,2021,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.45%,0.45
Guinea,GIN,2022,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.83%,0.83
Gambia,GMB,2017,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Gambia,GMB,2018,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Gambia,GMB,2019,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Gambia,GMB,2020,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.02%,0.02
Gambia,GMB,2021,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.45%,0.45
Gambia,GMB,2022,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.1%,0.1
Guinea-Bissau,GNB,2017,Sub-Saharan Africa,"",CCA_Share,percentage_share,2.72%,2.72
Guinea-Bissau,GNB,2018,Sub-Saharan Africa,"",CCA_Share,percentage_share,3.45%,3.45
Guinea-Bissau,GNB,2019,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.09%,0.09
Guinea-Bissau,GNB,2020,Sub-Saharan Africa,"",CCA_Share,percentage_share,1.11%,1.11
Guinea-Bissau,GNB,2021,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.95%,0.95
Guinea-Bissau,GNB,2022,Sub-Saharan Africa,"",CCA_Share,percentage_share,1.35%,1.35
Equatorial Guinea,GNQ,2017,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Equatorial Guinea,GNQ,2018,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Equatorial Guinea,GNQ,2019,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Equatorial Guinea,GNQ,2020,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Equatorial Guinea,GNQ,2021,Sub-Saharan Africa,"",CCA_Share,percentage_share,0%,0
Equatorial Guinea,GNQ,2022,Sub-Saharan Africa,"",CCA_Share,percentage_share,0.09%,0.09
Grenada,GRD,2017,Latin America & Caribbean,"",CCA_Share,percentage_share,3.93%,3.93
Grenada,GRD,2018,Latin America & Caribbean,"",CCA_Share,percentage_share,8.49%,8.49
Grenada,GRD,2019,Latin America & Caribbean,"",CCA_Share,percentage_share,2.64%,2.64
Grenada,GRD,2020,Latin America & Caribbean,"",CCA_Share,percentage_share,0.02%,0.02
