Donor,Year,Display,Series,Value
Netherlands,2013,Proportion,NGOs,8
New Zealand,2013,Proportion,NGOs,9
Norway,2013,Proportion,NGOs,31
Poland,2013,Proportion,NGOs,5
Saudi Arabia,2013,Proportion,NGOs,13
Slovakia,2013,Proportion,NGOs,0
Slovenia,2013,Proportion,NGOs,0
Spain,2013,Proportion,NGOs,6
Sweden,2013,Proportion,NGOs,16
Switzerland,2013,Proportion,NGOs,7
UAE,2013,Proportion,NGOs,2
UK,2013,Proportion,NGOs,10
US,2013,Proportion,NGOs,19
All donors,2013,Proportion,RCRC,8
Australia,2013,Proportion,RCRC,20
Belgium,2013,Proportion,RCRC,13
Canada,2013,Proportion,RCRC,11
Czech Republic,2013,Proportion,RCRC,4
Denmark,2013,Proportion,RCRC,11
EU institutions,2013,Proportion,RCRC,8
Finland,2013,Proportion,RCRC,15
France,2013,Proportion,RCRC,12
Germany,2013,Proportion,RCRC,12
Greece,2013,Proportion,RCRC,0
Hungary,2013,Proportion,RCRC,30
Iceland,2013,Proportion,RCRC,0
Ireland,2013,Proportion,RCRC,15
Italy,2013,Proportion,RCRC,8
Japan,2013,Proportion,RCRC,6
Korea,2013,Proportion,RCRC,1
Luxembourg,2013,Proportion,RCRC,27
Netherlands,2013,Proportion,RCRC,21
New Zealand,2013,Proportion,RCRC,3
Norway,2013,Proportion,RCRC,20
Poland,2013,Proportion,RCRC,11
Saudi Arabia,2013,Proportion,RCRC,0
Slovakia,2013,Proportion,RCRC,0
Slovenia,2013,Proportion,RCRC,21
Spain,2013,Proportion,RCRC,22
Sweden,2013,Proportion,RCRC,15
Switzerland,2013,Proportion,RCRC,29
UAE,2013,Proportion,RCRC,20
UK,2013,Proportion,RCRC,6
US,2013,Proportion,RCRC,4
All donors,2013,Proportion,Public sector,1
Australia,2013,Proportion,Public sector,1
Belgium,2013,Proportion,Public sector,0
Canada,2013,Proportion,Public sector,0
Czech Republic,2013,Proportion,Public sector,7
Denmark,2013,Proportion,Public sector,0
EU institutions,2013,Proportion,Public sector,0
Finland,2013,Proportion,Public sector,0
France,2013,Proportion,Public sector,4
Germany,2013,Proportion,Public sector,6
Greece,2013,Proportion,Public sector,21
Hungary,2013,Proportion,Public sector,2
Iceland,2013,Proportion,Public sector,0
Ireland,2013,Proportion,Public sector,0
Italy,2013,Proportion,Public sector,24
Japan,2013,Proportion,Public sector,2
Korea,2013,Proportion,Public sector,5
Luxembourg,2013,Proportion,Public sector,0
Netherlands,2013,Proportion,Public sector,0
New Zealand,2013,Proportion,Public sector,0
Norway,2013,Proportion,Public sector,0
Poland,2013,Proportion,Public sector,0
Saudi Arabia,2013,Proportion,Public sector,7
Slovakia,2013,Proportion,Public sector,0
Slovenia,2013,Proportion,Public sector,0
Spain,2013,Proportion,Public sector,1
Sweden,2013,Proportion,Public sector,3
Switzerland,2013,Proportion,Public sector,0
UAE,2013,Proportion,Public sector,29
UK,2013,Proportion,Public sector,0
US,2013,Proportion,Public sector,0
All donors,2013,Proportion,Pooled fund,6
Australia,2013,Proportion,Pooled fund,11
Belgium,2013,Proportion,Pooled fund,19
Canada,2013,Proportion,Pooled fund,6
Czech Republic,2013,Proportion,Pooled fund,0
Denmark,2013,Proportion,Pooled fund,13
EU institutions,2013,Proportion,Pooled fund,0
Finland,2013,Proportion,Pooled fund,10
France,2013,Proportion,Pooled fund,0
Germany,2013,Proportion,Pooled fund,3
Greece,2013,Proportion,Pooled fund,16
Hungary,2013,Proportion,Pooled fund,3
Iceland,2013,Proportion,Pooled fund,47
Ireland,2013,Proportion,Pooled fund,33
Italy,2013,Proportion,Pooled fund,1
Japan,2013,Proportion,Pooled fund,1
Korea,2013,Proportion,Pooled fund,15
Luxembourg,2013,Proportion,Pooled fund,12
Netherlands,2013,Proportion,Pooled fund,36
New Zealand,2013,Proportion,Pooled fund,13
Norway,2013,Proportion,Pooled fund,18
Poland,2013,Proportion,Pooled fund,6
Saudi Arabia,2013,Proportion,Pooled fund,0
Slovakia,2013,Proportion,Pooled fund,0
Slovenia,2013,Proportion,Pooled fund,37
Spain,2013,Proportion,Pooled fund,22
Sweden,2013,Proportion,Pooled fund,19
Switzerland,2013,Proportion,Pooled fund,3
UAE,2013,Proportion,Pooled fund,0
UK,2013,Proportion,Pooled fund,21
US,2013,Proportion,Pooled fund,0
All donors,2013,Proportion,Not reported,6
Australia,2013,Proportion,Not reported,0
Belgium,2013,Proportion,Not reported,1
Canada,2013,Proportion,Not reported,0
Czech Republic,2013,Proportion,Not reported,0
Denmark,2013,Proportion,Not reported,0
EU institutions,2013,Proportion,Not reported,1
Finland,2013,Proportion,Not reported,2
France,2013,Proportion,Not reported,5
Germany,2013,Proportion,Not reported,0
Greece,2013,Proportion,Not reported,0
Hungary,2013,Proportion,Not reported,2
Iceland,2013,Proportion,Not reported,0
Ireland,2013,Proportion,Not reported,2
Italy,2013,Proportion,Not reported,14
Japan,2013,Proportion,Not reported,1
Korea,2013,Proportion,Not reported,3
Luxembourg,2013,Proportion,Not reported,0
Netherlands,2013,Proportion,Not reported,0
New Zealand,2013,Proportion,Not reported,6
Norway,2013,Proportion,Not reported,1
Poland,2013,Proportion,Not reported,0
Saudi Arabia,2013,Proportion,Not reported,71
Slovakia,2013,Proportion,Not reported,39
Slovenia,2013,Proportion,Not reported,0
Spain,2013,Proportion,Not reported,1
Sweden,2013,Proportion,Not reported,0
Switzerland,2013,Proportion,Not reported,25
UAE,2013,Proportion,Not reported,31
UK,2013,Proportion,Not reported,7
US,2013,Proportion,Not reported,4
All donors,2013,Proportion,Other,1
Australia,2013,Proportion,Other,1
Belgium,2013,Proportion,Other,0
Canada,2013,Proportion,Other,0
Czech Republic,2013,Proportion,Other,0
Denmark,2013,Proportion,Other,0
EU institutions,2013,Proportion,Other,3
Finland,2013,Proportion,Other,0
France,2013,Proportion,Other,2
Germany,2013,Proportion,Other,1
Greece,2013,Proportion,Other,0
Hungary,2013,Proportion,Other,0
Iceland,2013,Proportion,Other,0
Ireland,2013,Proportion,Other,0
Italy,2013,Proportion,Other,0
Japan,2013,Proportion,Other,0
Korea,2013,Proportion,Other,0
Luxembourg,2013,Proportion,Other,1
Netherlands,2013,Proportion,Other,1
New Zealand,2013,Proportion,Other,0
Norway,2013,Proportion,Other,5
Poland,2013,Proportion,Other,19
Saudi Arabia,2013,Proportion,Other,0
Slovakia,2013,Proportion,Other,27
Slovenia,2013,Proportion,Other,0
Spain,2013,Proportion,Other,0
Sweden,2013,Proportion,Other,2
Switzerland,2013,Proportion,Other,1
UAE,2013,Proportion,Other,0
UK,2013,Proportion,Other,0
US,2013,Proportion,Other,1
All donors,2014,Proportion,Multilateral organisations,52
Australia,2014,Proportion,Multilateral organisations,47
Belgium,2014,Proportion,Multilateral organisations,55
Canada,2014,Proportion,Multilateral organisations,64
Czech Republic,2014,Proportion,Multilateral organisations,20
Denmark,2014,Proportion,Multilateral organisations,47
EU institutions,2014,Proportion,Multilateral organisations,40
Finland,2014,Proportion,Multilateral organisations,63
France,2014,Proportion,Multilateral organisations,19
Germany,2014,Proportion,Multilateral organisations,49
Greece,2014,Proportion,Multilateral organisations,77
Hungary,2014,Proportion,Multilateral organisations,16
Iceland,2014,Proportion,Multilateral organisations,75
Ireland,2014,Proportion,Multilateral organisations,20
Italy,2014,Proportion,Multilateral organisations,44
Japan,2014,Proportion,Multilateral organisations,86
Korea,2014,Proportion,Multilateral organisations,67
Luxembourg,2014,Proportion,Multilateral organisations,48
Netherlands,2014,Proportion,Multilateral organisations,28
New Zealand,2014,Proportion,Multilateral organisations,56
Norway,2014,Proportion,Multilateral organisations,30
Poland,2014,Proportion,Multilateral organisations,31
Saudi Arabia,2014,Proportion,Multilateral organisations,75
Slovakia,2014,Proportion,Multilateral organisations,100
Slovenia,2014,Proportion,Multilateral organisations,100
Spain,2014,Proportion,Multilateral organisations,39
Sweden,2014,Proportion,Multilateral organisations,44
Switzerland,2014,Proportion,Multilateral organisations,42
UAE,2014,Proportion,Multilateral organisations,27
UK,2014,Proportion,Multilateral organisations,41
US,2014,Proportion,Multilateral organisations,60
All donors,2014,Proportion,NGOs,21
Australia,2014,Proportion,NGOs,10
Belgium,2014,Proportion,NGOs,8
Canada,2014,Proportion,NGOs,19
Czech Republic,2014,Proportion,NGOs,38
Denmark,2014,Proportion,NGOs,29
EU institutions,2014,Proportion,NGOs,40
Finland,2014,Proportion,NGOs,8
France,2014,Proportion,NGOs,11
Germany,2014,Proportion,NGOs,20
Greece,2014,Proportion,NGOs,0
Hungary,2014,Proportion,NGOs,46
Iceland,2014,Proportion,NGOs,0
Ireland,2014,Proportion,NGOs,41
Italy,2014,Proportion,NGOs,2
Japan,2014,Proportion,NGOs,4
Korea,2014,Proportion,NGOs,0
Luxembourg,2014,Proportion,NGOs,15
Netherlands,2014,Proportion,NGOs,16
New Zealand,2014,Proportion,NGOs,11
Norway,2014,Proportion,NGOs,34
Poland,2014,Proportion,NGOs,6
Saudi Arabia,2014,Proportion,NGOs,3
Slovakia,2014,Proportion,NGOs,0
Slovenia,2014,Proportion,NGOs,0
Spain,2014,Proportion,NGOs,20
Sweden,2014,Proportion,NGOs,18
Switzerland,2014,Proportion,NGOs,10
UAE,2014,Proportion,NGOs,0
UK,2014,Proportion,NGOs,20
US,2014,Proportion,NGOs,17
All donors,2014,Proportion,RCRC,7
Australia,2014,Proportion,RCRC,18
Belgium,2014,Proportion,RCRC,9
Canada,2014,Proportion,RCRC,10
Czech Republic,2014,Proportion,RCRC,10
Denmark,2014,Proportion,RCRC,7
EU institutions,2014,Proportion,RCRC,9
Finland,2014,Proportion,RCRC,16
France,2014,Proportion,RCRC,10
Germany,2014,Proportion,RCRC,9
Greece,2014,Proportion,RCRC,0
Hungary,2014,Proportion,RCRC,1
Iceland,2014,Proportion,RCRC,0
Ireland,2014,Proportion,RCRC,11
Italy,2014,Proportion,RCRC,9
Japan,2014,Proportion,RCRC,6
Korea,2014,Proportion,RCRC,1
Luxembourg,2014,Proportion,RCRC,16
Netherlands,2014,Proportion,RCRC,20
New Zealand,2014,Proportion,RCRC,10
Norway,2014,Proportion,RCRC,15
Poland,2014,Proportion,RCRC,16
Saudi Arabia,2014,Proportion,RCRC,6
Slovakia,2014,Proportion,RCRC,0
Slovenia,2014,Proportion,RCRC,0
Spain,2014,Proportion,RCRC,33
Sweden,2014,Proportion,RCRC,12
Switzerland,2014,Proportion,RCRC,27
UAE,2014,Proportion,RCRC,16
UK,2014,Proportion,RCRC,6
US,2014,Proportion,RCRC,4
All donors,2014,Proportion,Public sector,6
Australia,2014,Proportion,Public sector,2
Belgium,2014,Proportion,Public sector,1
Canada,2014,Proportion,Public sector,0
Czech Republic,2014,Proportion,Public sector,23
Denmark,2014,Proportion,Public sector,1
EU institutions,2014,Proportion,Public sector,0
Finland,2014,Proportion,Public sector,0
France,2014,Proportion,Public sector,7
Germany,2014,Proportion,Public sector,16
Greece,2014,Proportion,Public sector,0
Hungary,2014,Proportion,Public sector,15
Iceland,2014,Proportion,Public sector,0
Ireland,2014,Proportion,Public sector,0
Italy,2014,Proportion,Public sector,26
Japan,2014,Proportion,Public sector,2
Korea,2014,Proportion,Public sector,0
Luxembourg,2014,Proportion,Public sector,0
Netherlands,2014,Proportion,Public sector,1
New Zealand,2014,Proportion,Public sector,7
Norway,2014,Proportion,Public sector,0
Poland,2014,Proportion,Public sector,1
Saudi Arabia,2014,Proportion,Public sector,4
Slovakia,2014,Proportion,Public sector,0
Slovenia,2014,Proportion,Public sector,0
Spain,2014,Proportion,Public sector,2
Sweden,2014,Proportion,Public sector,5
Switzerland,2014,Proportion,Public sector,2
UAE,2014,Proportion,Public sector,48
UK,2014,Proportion,Public sector,11
US,2014,Proportion,Public sector,6
All donors,2014,Proportion,Pooled fund,5
Australia,2014,Proportion,Pooled fund,14
Belgium,2014,Proportion,Pooled fund,28
Canada,2014,Proportion,Pooled fund,5
Czech Republic,2014,Proportion,Pooled fund,5
Denmark,2014,Proportion,Pooled fund,13
EU institutions,2014,Proportion,Pooled fund,0
Finland,2014,Proportion,Pooled fund,11
France,2014,Proportion,Pooled fund,0
Germany,2014,Proportion,Pooled fund,6
Greece,2014,Proportion,Pooled fund,0
Hungary,2014,Proportion,Pooled fund,2
Iceland,2014,Proportion,Pooled fund,25
Ireland,2014,Proportion,Pooled fund,27
Italy,2014,Proportion,Pooled fund,2
Japan,2014,Proportion,Pooled fund,1
Korea,2014,Proportion,Pooled fund,29
Luxembourg,2014,Proportion,Pooled fund,9
Netherlands,2014,Proportion,Pooled fund,25
New Zealand,2014,Proportion,Pooled fund,14
Norway,2014,Proportion,Pooled fund,14
Poland,2014,Proportion,Pooled fund,4
Saudi Arabia,2014,Proportion,Pooled fund,0
Slovakia,2014,Proportion,Pooled fund,0
Slovenia,2014,Proportion,Pooled fund,0
Spain,2014,Proportion,Pooled fund,4
Sweden,2014,Proportion,Pooled fund,20
Switzerland,2014,Proportion,Pooled fund,5
UAE,2014,Proportion,Pooled fund,0
UK,2014,Proportion,Pooled fund,18
US,2014,Proportion,Pooled fund,0
All donors,2014,Proportion,Not reported,8
Australia,2014,Proportion,Not reported,9
Belgium,2014,Proportion,Not reported,0
Canada,2014,Proportion,Not reported,3
Czech Republic,2014,Proportion,Not reported,0
Denmark,2014,Proportion,Not reported,3
EU institutions,2014,Proportion,Not reported,2
Finland,2014,Proportion,Not reported,1
France,2014,Proportion,Not reported,50
Germany,2014,Proportion,Not reported,0
Greece,2014,Proportion,Not reported,23
Hungary,2014,Proportion,Not reported,20
Iceland,2014,Proportion,Not reported,0
Ireland,2014,Proportion,Not reported,0
Italy,2014,Proportion,Not reported,18
Japan,2014,Proportion,Not reported,2
Korea,2014,Proportion,Not reported,3
Luxembourg,2014,Proportion,Not reported,10
Netherlands,2014,Proportion,Not reported,7
New Zealand,2014,Proportion,Not reported,2
Norway,2014,Proportion,Not reported,2
Poland,2014,Proportion,Not reported,19
Saudi Arabia,2014,Proportion,Not reported,12
Slovakia,2014,Proportion,Not reported,0
Slovenia,2014,Proportion,Not reported,0
Spain,2014,Proportion,Not reported,2
Sweden,2014,Proportion,Not reported,0
Switzerland,2014,Proportion,Not reported,12
UAE,2014,Proportion,Not reported,8
UK,2014,Proportion,Not reported,5
US,2014,Proportion,Not reported,11
All donors,2014,Proportion,Other,1
Australia,2014,Proportion,Other,0
Belgium,2014,Proportion,Other,0
Canada,2014,Proportion,Other,0
Czech Republic,2014,Proportion,Other,4
Denmark,2014,Proportion,Other,0
EU institutions,2014,Proportion,Other,9
Finland,2014,Proportion,Other,0
France,2014,Proportion,Other,2
Germany,2014,Proportion,Other,0
Greece,2014,Proportion,Other,0
Hungary,2014,Proportion,Other,0
Iceland,2014,Proportion,Other,0
Ireland,2014,Proportion,Other,0
Italy,2014,Proportion,Other,0
Japan,2014,Proportion,Other,0
Korea,2014,Proportion,Other,0
Luxembourg,2014,Proportion,Other,2
Netherlands,2014,Proportion,Other,4
New Zealand,2014,Proportion,Other,0
Norway,2014,Proportion,Other,4
Poland,2014,Proportion,Other,24
Saudi Arabia,2014,Proportion,Other,0
Slovakia,2014,Proportion,Other,0
Slovenia,2014,Proportion,Other,0
Spain,2014,Proportion,Other,0
Sweden,2014,Proportion,Other,1
Switzerland,2014,Proportion,Other,2
UAE,2014,Proportion,Other,0
UK,2014,Proportion,Other,0
US,2014,Proportion,Other,1
All donors,2015,Proportion,Multilateral organisations,52
Australia,2015,Proportion,Multilateral organisations,56
Belgium,2015,Proportion,Multilateral organisations,32
Canada,2015,Proportion,Multilateral organisations,56
Czech Republic,2015,Proportion,Multilateral organisations,31
Denmark,2015,Proportion,Multilateral organisations,51
EU institutions,2015,Proportion,Multilateral organisations,43
Finland,2015,Proportion,Multilateral organisations,67
France,2015,Proportion,Multilateral organisations,71
Germany,2015,Proportion,Multilateral organisations,69
Greece,2015,Proportion,Multilateral organisations,100
Hungary,2015,Proportion,Multilateral organisations,59
Iceland,2015,Proportion,Multilateral organisations,53
Ireland,2015,Proportion,Multilateral organisations,19
Italy,2015,Proportion,Multilateral organisations,48
Japan,2015,Proportion,Multilateral organisations,81
Korea,2015,Proportion,Multilateral organisations,75
Luxembourg,2015,Proportion,Multilateral organisations,45
Netherlands,2015,Proportion,Multilateral organisations,30
New Zealand,2015,Proportion,Multilateral organisations,46
Norway,2015,Proportion,Multilateral organisations,40
Poland,2015,Proportion,Multilateral organisations,53
Saudi Arabia,2015,Proportion,Multilateral organisations,59
Slovakia,2015,Proportion,Multilateral organisations,100
Slovenia,2015,Proportion,Multilateral organisations,83
Spain,2015,Proportion,Multilateral organisations,40
Sweden,2015,Proportion,Multilateral organisations,46
Switzerland,2015,Proportion,Multilateral organisations,38
UAE,2015,Proportion,Multilateral organisations,1
UK,2015,Proportion,Multilateral organisations,46
US,2015,Proportion,Multilateral organisations,56
All donors,2015,Proportion,NGOs,18
Australia,2015,Proportion,NGOs,10
Belgium,2015,Proportion,NGOs,11
Canada,2015,Proportion,NGOs,29
Czech Republic,2015,Proportion,NGOs,15
Denmark,2015,Proportion,NGOs,23
EU institutions,2015,Proportion,NGOs,42
Finland,2015,Proportion,NGOs,11
France,2015,Proportion,NGOs,11
Germany,2015,Proportion,NGOs,14
Greece,2015,Proportion,NGOs,0
Hungary,2015,Proportion,NGOs,6
Iceland,2015,Proportion,NGOs,0
Ireland,2015,Proportion,NGOs,35
Italy,2015,Proportion,NGOs,28
Japan,2015,Proportion,NGOs,6
Korea,2015,Proportion,NGOs,0
Luxembourg,2015,Proportion,NGOs,21
Netherlands,2015,Proportion,NGOs,23
New Zealand,2015,Proportion,NGOs,11
Norway,2015,Proportion,NGOs,26
Poland,2015,Proportion,NGOs,2
Saudi Arabia,2015,Proportion,NGOs,6
Slovakia,2015,Proportion,NGOs,0
Slovenia,2015,Proportion,NGOs,0
Spain,2015,Proportion,NGOs,25
Sweden,2015,Proportion,NGOs,19
Switzerland,2015,Proportion,NGOs,8
UAE,2015,Proportion,NGOs,0
UK,2015,Proportion,NGOs,14
US,2015,Proportion,NGOs,18
All donors,2015,Proportion,RCRC,11
Australia,2015,Proportion,RCRC,11
Belgium,2015,Proportion,RCRC,19
Canada,2015,Proportion,RCRC,8
Czech Republic,2015,Proportion,RCRC,5
Denmark,2015,Proportion,RCRC,14
EU institutions,2015,Proportion,RCRC,12
Finland,2015,Proportion,RCRC,15
France,2015,Proportion,RCRC,13
Germany,2015,Proportion,RCRC,9
Greece,2015,Proportion,RCRC,0
Hungary,2015,Proportion,RCRC,17
Iceland,2015,Proportion,RCRC,0
Ireland,2015,Proportion,RCRC,14
Italy,2015,Proportion,RCRC,10
Japan,2015,Proportion,RCRC,8
Korea,2015,Proportion,RCRC,2
Luxembourg,2015,Proportion,RCRC,20
Netherlands,2015,Proportion,RCRC,13
New Zealand,2015,Proportion,RCRC,8
Norway,2015,Proportion,RCRC,18
Poland,2015,Proportion,RCRC,4
Saudi Arabia,2015,Proportion,RCRC,0
Slovakia,2015,Proportion,RCRC,0
Slovenia,2015,Proportion,RCRC,17
Spain,2015,Proportion,RCRC,17
Sweden,2015,Proportion,RCRC,12
Switzerland,2015,Proportion,RCRC,29
UAE,2015,Proportion,RCRC,83
UK,2015,Proportion,RCRC,5
US,2015,Proportion,RCRC,5
All donors,2015,Proportion,Public sector,5
Australia,2015,Proportion,Public sector,2
Belgium,2015,Proportion,Public sector,0
Canada,2015,Proportion,Public sector,0
Czech Republic,2015,Proportion,Public sector,41
Denmark,2015,Proportion,Public sector,0
EU institutions,2015,Proportion,Public sector,0
Finland,2015,Proportion,Public sector,0
France,2015,Proportion,Public sector,1
Germany,2015,Proportion,Public sector,3
Greece,2015,Proportion,Public sector,0
Hungary,2015,Proportion,Public sector,6
Iceland,2015,Proportion,Public sector,0
Ireland,2015,Proportion,Public sector,0
Italy,2015,Proportion,Public sector,5
Japan,2015,Proportion,Public sector,3
Korea,2015,Proportion,Public sector,8
Luxembourg,2015,Proportion,Public sector,0
Netherlands,2015,Proportion,Public sector,0
New Zealand,2015,Proportion,Public sector,10
Norway,2015,Proportion,Public sector,0
Poland,2015,Proportion,Public sector,3
Saudi Arabia,2015,Proportion,Public sector,17
Slovakia,2015,Proportion,Public sector,0
Slovenia,2015,Proportion,Public sector,0
Spain,2015,Proportion,Public sector,2
Sweden,2015,Proportion,Public sector,3
Switzerland,2015,Proportion,Public sector,1
UAE,2015,Proportion,Public sector,4
UK,2015,Proportion,Public sector,0
US,2015,Proportion,Public sector,10
All donors,2015,Proportion,Pooled fund,5
Australia,2015,Proportion,Pooled fund,17
Belgium,2015,Proportion,Pooled fund,17
Canada,2015,Proportion,Pooled fund,5
Czech Republic,2015,Proportion,Pooled fund,0
Denmark,2015,Proportion,Pooled fund,12
EU institutions,2015,Proportion,Pooled fund,0
Finland,2015,Proportion,Pooled fund,6
France,2015,Proportion,Pooled fund,0
Germany,2015,Proportion,Pooled fund,5
Greece,2015,Proportion,Pooled fund,0
Hungary,2015,Proportion,Pooled fund,0
Iceland,2015,Proportion,Pooled fund,47
Ireland,2015,Proportion,Pooled fund,32
Italy,2015,Proportion,Pooled fund,2
Japan,2015,Proportion,Pooled fund,0
Korea,2015,Proportion,Pooled fund,12
Luxembourg,2015,Proportion,Pooled fund,12
Netherlands,2015,Proportion,Pooled fund,31
New Zealand,2015,Proportion,Pooled fund,12
Norway,2015,Proportion,Pooled fund,13
Poland,2015,Proportion,Pooled fund,4
Saudi Arabia,2015,Proportion,Pooled fund,0
Slovakia,2015,Proportion,Pooled fund,0
Slovenia,2015,Proportion,Pooled fund,0
Spain,2015,Proportion,Pooled fund,9
Sweden,2015,Proportion,Pooled fund,19
Switzerland,2015,Proportion,Pooled fund,5
UAE,2015,Proportion,Pooled fund,0
UK,2015,Proportion,Pooled fund,19
US,2015,Proportion,Pooled fund,0
All donors,2015,Proportion,Not reported,8
Australia,2015,Proportion,Not reported,5
Belgium,2015,Proportion,Not reported,21
Canada,2015,Proportion,Not reported,2
Czech Republic,2015,Proportion,Not reported,8
Denmark,2015,Proportion,Not reported,0
EU institutions,2015,Proportion,Not reported,1
Finland,2015,Proportion,Not reported,0
France,2015,Proportion,Not reported,1
Germany,2015,Proportion,Not reported,0
Greece,2015,Proportion,Not reported,0
Hungary,2015,Proportion,Not reported,11
Iceland,2015,Proportion,Not reported,0
Ireland,2015,Proportion,Not reported,0
Italy,2015,Proportion,Not reported,7
Japan,2015,Proportion,Not reported,0
Korea,2015,Proportion,Not reported,3
Luxembourg,2015,Proportion,Not reported,0
Netherlands,2015,Proportion,Not reported,0
New Zealand,2015,Proportion,Not reported,13
Norway,2015,Proportion,Not reported,2
Poland,2015,Proportion,Not reported,25
Saudi Arabia,2015,Proportion,Not reported,16
Slovakia,2015,Proportion,Not reported,0
Slovenia,2015,Proportion,Not reported,0
Spain,2015,Proportion,Not reported,8
Sweden,2015,Proportion,Not reported,0
Switzerland,2015,Proportion,Not reported,16
UAE,2015,Proportion,Not reported,7
UK,2015,Proportion,Not reported,15
US,2015,Proportion,Not reported,9
All donors,2015,Proportion,Other,1
Australia,2015,Proportion,Other,0
Belgium,2015,Proportion,Other,0
Canada,2015,Proportion,Other,1
Czech Republic,2015,Proportion,Other,0
Denmark,2015,Proportion,Other,0
EU institutions,2015,Proportion,Other,2
Finland,2015,Proportion,Other,0
France,2015,Proportion,Other,3
Germany,2015,Proportion,Other,0
Greece,2015,Proportion,Other,0
Hungary,2015,Proportion,Other,2
Iceland,2015,Proportion,Other,0
Ireland,2015,Proportion,Other,0
Italy,2015,Proportion,Other,0
Japan,2015,Proportion,Other,2
Korea,2015,Proportion,Other,0
Luxembourg,2015,Proportion,Other,2
Netherlands,2015,Proportion,Other,2
New Zealand,2015,Proportion,Other,0
Norway,2015,Proportion,Other,1
Poland,2015,Proportion,Other,10
Saudi Arabia,2015,Proportion,Other,1
Slovakia,2015,Proportion,Other,0
Slovenia,2015,Proportion,Other,0
Spain,2015,Proportion,Other,0
Sweden,2015,Proportion,Other,1
Switzerland,2015,Proportion,Other,3
UAE,2015,Proportion,Other,5
UK,2015,Proportion,Other,0
US,2015,Proportion,Other,1
All donors,2016,Proportion,Multilateral organisations,57
Australia,2016,Proportion,Multilateral organisations,55
Belgium,2016,Proportion,Multilateral organisations,47
Canada,2016,Proportion,Multilateral organisations,67
Czech Republic,2016,Proportion,Multilateral organisations,52
Denmark,2016,Proportion,Multilateral organisations,46
EU institutions,2016,Proportion,Multilateral organisations,52
Finland,2016,Proportion,Multilateral organisations,75
France,2016,Proportion,Multilateral organisations,64
Germany,2016,Proportion,Multilateral organisations,63
Greece,2016,Proportion,Multilateral organisations,
Hungary,2016,Proportion,Multilateral organisations,0.19
Iceland,2016,Proportion,Multilateral organisations,0.86
Ireland,2016,Proportion,Multilateral organisations,0.22
Italy,2016,Proportion,Multilateral organisations,0.5
Japan,2016,Proportion,Multilateral organisations,0.9
Korea,2016,Proportion,Multilateral organisations,0.84
Luxembourg,2016,Proportion,Multilateral organisations,0.45
Netherlands,2016,Proportion,Multilateral organisations,0.31
New Zealand,2016,Proportion,Multilateral organisations,0.34
Norway,2016,Proportion,Multilateral organisations,0.49
Poland,2016,Proportion,Multilateral organisations,0.38
Saudi Arabia,2016,Proportion,Multilateral organisations,0.44
Slovakia,2016,Proportion,Multilateral organisations,1
Slovenia,2016,Proportion,Multilateral organisations,0.7
Spain,2016,Proportion,Multilateral organisations,0.57
Sweden,2016,Proportion,Multilateral organisations,0.36
Switzerland,2016,Proportion,Multilateral organisations,0.47
