Country_ID,Country_name,variable,value
LBN,Lebanon,Severity_score,4
CAF,CAR,Severity_score,4
MWI,Malawi,Severity_score,3
ERI,Eritrea,Severity_score,3
PHL,Philippines,Severity_score,3
TUR,Turkey,Severity_score,3
BDI,Burundi,Severity_score,4
SLV,El Salvador,Severity_score,3
ZMB,Zambia,Severity_score,3
MDG,Madagascar,Severity_score,4
UGA,Uganda,Severity_score,3
JOR,Jordan,Severity_score,4
EGY,Egypt,Severity_score,3
BGD,Bangladesh,Severity_score,4
AGO,Angola,Severity_score,4
PER,Peru,Severity_score,3
LBY,Libya,Severity_score,5
COG,Congo,Severity_score,3
VNM,Viet Nam,Severity_score,3
YEM,Yemen,Protracted/Recurrent_crisis,Protracted
ETH,Ethiopia,Protracted/Recurrent_crisis,Protracted
COD,DRC,Protracted/Recurrent_crisis,Protracted
AFG,Afghanistan,Protracted/Recurrent_crisis,Protracted
NGA,Nigeria,Protracted/Recurrent_crisis,Protracted
VEN,Venezuela,Protracted/Recurrent_crisis,Recurrent
SDN,Sudan,Protracted/Recurrent_crisis,Protracted
SYR,Syria,Protracted/Recurrent_crisis,Protracted
PAK,Pakistan,Protracted/Recurrent_crisis,Protracted
PRK,DPR Korea,Protracted/Recurrent_crisis,
COL,Colombia,Protracted/Recurrent_crisis,Recurrent
SSD,South Sudan,Protracted/Recurrent_crisis,Protracted
SOM,Somalia,Protracted/Recurrent_crisis,Protracted
ZWE,Zimbabwe,Protracted/Recurrent_crisis,Recurrent
TCD,Chad,Protracted/Recurrent_crisis,Protracted
MLI,Mali,Protracted/Recurrent_crisis,Protracted
HTI,Haiti,Protracted/Recurrent_crisis,Protracted
NPL,Nepal,Protracted/Recurrent_crisis,
CMR,Cameroon,Protracted/Recurrent_crisis,Protracted
IRQ,Iraq,Protracted/Recurrent_crisis,Protracted
MOZ,Mozambique,Protracted/Recurrent_crisis,Recurrent
NER,Niger,Protracted/Recurrent_crisis,Protracted
PSE,oPt,Protracted/Recurrent_crisis,Protracted
GTM,Guatemala,Protracted/Recurrent_crisis,
MMR,Myanmar,Protracted/Recurrent_crisis,Protracted
BFA,Burkina Faso,Protracted/Recurrent_crisis,Protracted
KEN,Kenya,Protracted/Recurrent_crisis,Protracted
IRN,Iran,Protracted/Recurrent_crisis,
UKR,Ukraine,Protracted/Recurrent_crisis,Protracted
HND,Honduras,Protracted/Recurrent_crisis,
LBN,Lebanon,Protracted/Recurrent_crisis,Protracted
CAF,CAR,Protracted/Recurrent_crisis,Protracted
MWI,Malawi,Protracted/Recurrent_crisis,
ERI,Eritrea,Protracted/Recurrent_crisis,
PHL,Philippines,Protracted/Recurrent_crisis,
TUR,Turkey,Protracted/Recurrent_crisis,Protracted
BDI,Burundi,Protracted/Recurrent_crisis,Protracted
SLV,El Salvador,Protracted/Recurrent_crisis,
ZMB,Zambia,Protracted/Recurrent_crisis,Recurrent
MDG,Madagascar,Protracted/Recurrent_crisis,
UGA,Uganda,Protracted/Recurrent_crisis,Protracted
JOR,Jordan,Protracted/Recurrent_crisis,Protracted
EGY,Egypt,Protracted/Recurrent_crisis,Protracted
BGD,Bangladesh,Protracted/Recurrent_crisis,Protracted
AGO,Angola,Protracted/Recurrent_crisis,Protracted
PER,Peru,Protracted/Recurrent_crisis,Protracted
LBY,Libya,Protracted/Recurrent_crisis,Protracted
COG,Congo,Protracted/Recurrent_crisis,Protracted
VNM,Viet Nam,Protracted/Recurrent_crisis,
YEM,Yemen,Years_of_consecutive_crisis,14
ETH,Ethiopia,Years_of_consecutive_crisis,8
COD,DRC,Years_of_consecutive_crisis,22
AFG,Afghanistan,Years_of_consecutive_crisis,14
NGA,Nigeria,Years_of_consecutive_crisis,8
VEN,Venezuela,Years_of_consecutive_crisis,4
SDN,Sudan,Years_of_consecutive_crisis,22
SYR,Syria,Years_of_consecutive_crisis,10
PAK,Pakistan,Years_of_consecutive_crisis,6
PRK,DPR Korea,Years_of_consecutive_crisis,
COL,Colombia,Years_of_consecutive_crisis,4
SSD,South Sudan,Years_of_consecutive_crisis,11
SOM,Somalia,Years_of_consecutive_crisis,22
ZWE,Zimbabwe,Years_of_consecutive_crisis,3
TCD,Chad,Years_of_consecutive_crisis,18
MLI,Mali,Years_of_consecutive_crisis,18
HTI,Haiti,Years_of_consecutive_crisis,12
NPL,Nepal,Years_of_consecutive_crisis,1
CMR,Cameroon,Years_of_consecutive_crisis,8
IRQ,Iraq,Years_of_consecutive_crisis,10
MOZ,Mozambique,Years_of_consecutive_crisis,3
NER,Niger,Years_of_consecutive_crisis,17
PSE,oPt,Years_of_consecutive_crisis,19
GTM,Guatemala,Years_of_consecutive_crisis,1
MMR,Myanmar,Years_of_consecutive_crisis,9
BFA,Burkina Faso,Years_of_consecutive_crisis,18
KEN,Kenya,Years_of_consecutive_crisis,14
IRN,Iran,Years_of_consecutive_crisis,
UKR,Ukraine,Years_of_consecutive_crisis,8
HND,Honduras,Years_of_consecutive_crisis,1
LBN,Lebanon,Years_of_consecutive_crisis,10
CAF,CAR,Years_of_consecutive_crisis,19
MWI,Malawi,Years_of_consecutive_crisis,
ERI,Eritrea,Years_of_consecutive_crisis,
PHL,Philippines,Years_of_consecutive_crisis,
TUR,Turkey,Years_of_consecutive_crisis,10
BDI,Burundi,Years_of_consecutive_crisis,6
SLV,El Salvador,Years_of_consecutive_crisis,1
ZMB,Zambia,Years_of_consecutive_crisis,4
MDG,Madagascar,Years_of_consecutive_crisis,1
UGA,Uganda,Years_of_consecutive_crisis,8
JOR,Jordan,Years_of_consecutive_crisis,10
EGY,Egypt,Years_of_consecutive_crisis,9
BGD,Bangladesh,Years_of_consecutive_crisis,6
AGO,Angola,Years_of_consecutive_crisis,5
PER,Peru,Years_of_consecutive_crisis,5
LBY,Libya,Years_of_consecutive_crisis,7
COG,Congo,Years_of_consecutive_crisis,8
VNM,Viet Nam,Years_of_consecutive_crisis,
YEM,Yemen,COVID_vaccination_rate,2
ETH,Ethiopia,COVID_vaccination_rate,21
COD,DRC,COVID_vaccination_rate,1
AFG,Afghanistan,COVID_vaccination_rate,13
NGA,Nigeria,COVID_vaccination_rate,11
VEN,Venezuela,COVID_vaccination_rate,77
SDN,Sudan,COVID_vaccination_rate,13
SYR,Syria,COVID_vaccination_rate,13
PAK,Pakistan,COVID_vaccination_rate,60
PRK,DPR Korea,COVID_vaccination_rate,
COL,Colombia,COVID_vaccination_rate,82
SSD,South Sudan,COVID_vaccination_rate,5
SOM,Somalia,COVID_vaccination_rate,12
ZWE,Zimbabwe,COVID_vaccination_rate,39
TCD,Chad,COVID_vaccination_rate,13
MLI,Mali,COVID_vaccination_rate,7
HTI,Haiti,COVID_vaccination_rate,2
NPL,Nepal,COVID_vaccination_rate,75
CMR,Cameroon,COVID_vaccination_rate,6
IRQ,Iraq,COVID_vaccination_rate,25
MOZ,Mozambique,COVID_vaccination_rate,45
NER,Niger,COVID_vaccination_rate,9
PSE,oPt,COVID_vaccination_rate,38
GTM,Guatemala,COVID_vaccination_rate,44
MMR,Myanmar,COVID_vaccination_rate,54
BFA,Burkina Faso,COVID_vaccination_rate,10
KEN,Kenya,COVID_vaccination_rate,22
IRN,Iran,COVID_vaccination_rate,76
UKR,Ukraine,COVID_vaccination_rate,36
HND,Honduras,COVID_vaccination_rate,52
LBN,Lebanon,COVID_vaccination_rate,37
CAF,CAR,COVID_vaccination_rate,19
MWI,Malawi,COVID_vaccination_rate,8
ERI,Eritrea,COVID_vaccination_rate,
PHL,Philippines,COVID_vaccination_rate,63
TUR,Turkey,COVID_vaccination_rate,68
BDI,Burundi,COVID_vaccination_rate,0
SLV,El Salvador,COVID_vaccination_rate,70
ZMB,Zambia,COVID_vaccination_rate,15
MDG,Madagascar,COVID_vaccination_rate,4
UGA,Uganda,COVID_vaccination_rate,33
JOR,Jordan,COVID_vaccination_rate,46
EGY,Egypt,COVID_vaccination_rate,44
BGD,Bangladesh,COVID_vaccination_rate,77
AGO,Angola,COVID_vaccination_rate,35
PER,Peru,COVID_vaccination_rate,87
LBY,Libya,COVID_vaccination_rate,32
COG,Congo,COVID_vaccination_rate,14
VNM,Viet Nam,COVID_vaccination_rate,81
YEM,Yemen,Climate_vulnerability,5
ETH,Ethiopia,Climate_vulnerability,5
COD,DRC,Climate_vulnerability,5
AFG,Afghanistan,Climate_vulnerability,5
NGA,Nigeria,Climate_vulnerability,4
VEN,Venezuela,Climate_vulnerability,2
SDN,Sudan,Climate_vulnerability,5
SYR,Syria,Climate_vulnerability,4
PAK,Pakistan,Climate_vulnerability,4
PRK,DPR Korea,Climate_vulnerability,4
COL,Colombia,Climate_vulnerability,3
SSD,South Sudan,Climate_vulnerability,
SOM,Somalia,Climate_vulnerability,5
ZWE,Zimbabwe,Climate_vulnerability,4
TCD,Chad,Climate_vulnerability,5
MLI,Mali,Climate_vulnerability,5
HTI,Haiti,Climate_vulnerability,5
NPL,Nepal,Climate_vulnerability,4
CMR,Cameroon,Climate_vulnerability,4
IRQ,Iraq,Climate_vulnerability,3
MOZ,Mozambique,Climate_vulnerability,4
NER,Niger,Climate_vulnerability,5
PSE,oPt,Climate_vulnerability,
GTM,Guatemala,Climate_vulnerability,4
MMR,Myanmar,Climate_vulnerability,5
BFA,Burkina Faso,Climate_vulnerability,5
KEN,Kenya,Climate_vulnerability,4
IRN,Iran,Climate_vulnerability,2
UKR,Ukraine,Climate_vulnerability,2
HND,Honduras,Climate_vulnerability,4
LBN,Lebanon,Climate_vulnerability,3
CAF,CAR,Climate_vulnerability,5
MWI,Malawi,Climate_vulnerability,5
ERI,Eritrea,Climate_vulnerability,5
PHL,Philippines,Climate_vulnerability,4
TUR,Turkey,Climate_vulnerability,1
BDI,Burundi,Climate_vulnerability,5
SLV,El Salvador,Climate_vulnerability,3
ZMB,Zambia,Climate_vulnerability,4
MDG,Madagascar,Climate_vulnerability,5
UGA,Uganda,Climate_vulnerability,5
JOR,Jordan,Climate_vulnerability,2
EGY,Egypt,Climate_vulnerability,3
BGD,Bangladesh,Climate_vulnerability,5
AGO,Angola,Climate_vulnerability,4
PER,Peru,Climate_vulnerability,3
LBY,Libya,Climate_vulnerability,3
COG,Congo,Climate_vulnerability,4
VNM,Viet Nam,Climate_vulnerability,4
YEM,Yemen,Conflict_marker,1
ETH,Ethiopia,Conflict_marker,1
COD,DRC,Conflict_marker,1
AFG,Afghanistan,Conflict_marker,1
NGA,Nigeria,Conflict_marker,1
VEN,Venezuela,Conflict_marker,1
SDN,Sudan,Conflict_marker,1
SYR,Syria,Conflict_marker,1
PAK,Pakistan,Conflict_marker,1
PRK,DPR Korea,Conflict_marker,0
COL,Colombia,Conflict_marker,0
SSD,South Sudan,Conflict_marker,1
SOM,Somalia,Conflict_marker,1
ZWE,Zimbabwe,Conflict_marker,0
TCD,Chad,Conflict_marker,1
MLI,Mali,Conflict_marker,1
HTI,Haiti,Conflict_marker,0
NPL,Nepal,Conflict_marker,0
CMR,Cameroon,Conflict_marker,1
IRQ,Iraq,Conflict_marker,1
MOZ,Mozambique,Conflict_marker,1
NER,Niger,Conflict_marker,1
PSE,oPt,Conflict_marker,1
GTM,Guatemala,Conflict_marker,0
MMR,Myanmar,Conflict_marker,1
BFA,Burkina Faso,Conflict_marker,1
KEN,Kenya,Conflict_marker,1
IRN,Iran,Conflict_marker,0
UKR,Ukraine,Conflict_marker,1
HND,Honduras,Conflict_marker,0
LBN,Lebanon,Conflict_marker,0
CAF,CAR,Conflict_marker,1
MWI,Malawi,Conflict_marker,0
ERI,Eritrea,Conflict_marker,1
PHL,Philippines,Conflict_marker,1
TUR,Turkey,Conflict_marker,1
BDI,Burundi,Conflict_marker,0
SLV,El Salvador,Conflict_marker,0
ZMB,Zambia,Conflict_marker,0
MDG,Madagascar,Conflict_marker,0
UGA,Uganda,Conflict_marker,1
JOR,Jordan,Conflict_marker,0
EGY,Egypt,Conflict_marker,0
BGD,Bangladesh,Conflict_marker,0
AGO,Angola,Conflict_marker,0
PER,Peru,Conflict_marker,0
LBY,Libya,Conflict_marker,0
COG,Congo,Conflict_marker,0
VNM,Viet Nam,Conflict_marker,0
YEM,Yemen,Displacement_marker,1
ETH,Ethiopia,Displacement_marker,1
COD,DRC,Displacement_marker,1
AFG,Afghanistan,Displacement_marker,1
NGA,Nigeria,Displacement_marker,1
VEN,Venezuela,Displacement_marker,1
SDN,Sudan,Displacement_marker,1
SYR,Syria,Displacement_marker,1
PAK,Pakistan,Displacement_marker,0
PRK,DPR Korea,Displacement_marker,0
COL,Colombia,Displacement_marker,1
SSD,South Sudan,Displacement_marker,1
SOM,Somalia,Displacement_marker,1
ZWE,Zimbabwe,Displacement_marker,1
TCD,Chad,Displacement_marker,1
MLI,Mali,Displacement_marker,1
HTI,Haiti,Displacement_marker,0
NPL,Nepal,Displacement_marker,0
CMR,Cameroon,Displacement_marker,1
IRQ,Iraq,Displacement_marker,1
MOZ,Mozambique,Displacement_marker,1
NER,Niger,Displacement_marker,1
PSE,oPt,Displacement_marker,0
GTM,Guatemala,Displacement_marker,1
MMR,Myanmar,Displacement_marker,0
BFA,Burkina Faso,Displacement_marker,1
KEN,Kenya,Displacement_marker,1
IRN,Iran,Displacement_marker,1
UKR,Ukraine,Displacement_marker,0
HND,Honduras,Displacement_marker,1
LBN,Lebanon,Displacement_marker,1
CAF,CAR,Displacement_marker,1
MWI,Malawi,Displacement_marker,0
ERI,Eritrea,Displacement_marker,0
PHL,Philippines,Displacement_marker,0
TUR,Turkey,Displacement_marker,1
BDI,Burundi,Displacement_marker,1
SLV,El Salvador,Displacement_marker,0
ZMB,Zambia,Displacement_marker,0
MDG,Madagascar,Displacement_marker,0
UGA,Uganda,Displacement_marker,1
JOR,Jordan,Displacement_marker,1
EGY,Egypt,Displacement_marker,1
BGD,Bangladesh,Displacement_marker,1
AGO,Angola,Displacement_marker,0
PER,Peru,Displacement_marker,1
LBY,Libya,Displacement_marker,1
COG,Congo,Displacement_marker,1
VNM,Viet Nam,Displacement_marker,0
YEM,Yemen,Physical_disaster_marker,1
ETH,Ethiopia,Physical_disaster_marker,1
COD,DRC,Physical_disaster_marker,1
AFG,Afghanistan,Physical_disaster_marker,1
NGA,Nigeria,Physical_disaster_marker,0
VEN,Venezuela,Physical_disaster_marker,1
SDN,Sudan,Physical_disaster_marker,1
SYR,Syria,Physical_disaster_marker,1
PAK,Pakistan,Physical_disaster_marker,0
PRK,DPR Korea,Physical_disaster_marker,0
COL,Colombia,Physical_disaster_marker,1
SSD,South Sudan,Physical_disaster_marker,1
SOM,Somalia,Physical_disaster_marker,1
ZWE,Zimbabwe,Physical_disaster_marker,1
TCD,Chad,Physical_disaster_marker,1
MLI,Mali,Physical_disaster_marker,0
HTI,Haiti,Physical_disaster_marker,1
NPL,Nepal,Physical_disaster_marker,0
CMR,Cameroon,Physical_disaster_marker,0
IRQ,Iraq,Physical_disaster_marker,1
MOZ,Mozambique,Physical_disaster_marker,1
NER,Niger,Physical_disaster_marker,1
PSE,oPt,Physical_disaster_marker,0
GTM,Guatemala,Physical_disaster_marker,1
MMR,Myanmar,Physical_disaster_marker,1
BFA,Burkina Faso,Physical_disaster_marker,1
KEN,Kenya,Physical_disaster_marker,1
IRN,Iran,Physical_disaster_marker,0
UKR,Ukraine,Physical_disaster_marker,0
HND,Honduras,Physical_disaster_marker,1
LBN,Lebanon,Physical_disaster_marker,1
CAF,CAR,Physical_disaster_marker,0
MWI,Malawi,Physical_disaster_marker,1
ERI,Eritrea,Physical_disaster_marker,0
PHL,Philippines,Physical_disaster_marker,1
TUR,Turkey,Physical_disaster_marker,0
BDI,Burundi,Physical_disaster_marker,1
SLV,El Salvador,Physical_disaster_marker,0
ZMB,Zambia,Physical_disaster_marker,1
MDG,Madagascar,Physical_disaster_marker,1
UGA,Uganda,Physical_disaster_marker,1
JOR,Jordan,Physical_disaster_marker,0
EGY,Egypt,Physical_disaster_marker,0
BGD,Bangladesh,Physical_disaster_marker,1
AGO,Angola,Physical_disaster_marker,1
PER,Peru,Physical_disaster_marker,0
LBY,Libya,Physical_disaster_marker,0
COG,Congo,Physical_disaster_marker,1
VNM,Viet Nam,Physical_disaster_marker,1
YEM,Yemen,"Country_response_plan_requirements_(US$,_million)",3853
ETH,Ethiopia,"Country_response_plan_requirements_(US$,_million)",2445
COD,DRC,"Country_response_plan_requirements_(US$,_million)",1984
AFG,Afghanistan,"Country_response_plan_requirements_(US$,_million)",1475
NGA,Nigeria,"Country_response_plan_requirements_(US$,_million)",1006
VEN,Venezuela,"Country_response_plan_requirements_(US$,_million)",708
SDN,Sudan,"Country_response_plan_requirements_(US$,_million)",1940
SYR,Syria,"Country_response_plan_requirements_(US$,_million)",4224
PAK,Pakistan,"Country_response_plan_requirements_(US$,_million)",332
PRK,DPR Korea,"Country_response_plan_requirements_(US$,_million)",
COL,Colombia,"Country_response_plan_requirements_(US$,_million)",174
SSD,South Sudan,"Country_response_plan_requirements_(US$,_million)",1678
SOM,Somalia,"Country_response_plan_requirements_(US$,_million)",1092
ZWE,Zimbabwe,"Country_response_plan_requirements_(US$,_million)",507
TCD,Chad,"Country_response_plan_requirements_(US$,_million)",618
MLI,Mali,"Country_response_plan_requirements_(US$,_million)",563
HTI,Haiti,"Country_response_plan_requirements_(US$,_million)",423
NPL,Nepal,"Country_response_plan_requirements_(US$,_million)",84
CMR,Cameroon,"Country_response_plan_requirements_(US$,_million)",362
IRQ,Iraq,"Country_response_plan_requirements_(US$,_million)",607
MOZ,Mozambique,"Country_response_plan_requirements_(US$,_million)",254
NER,Niger,"Country_response_plan_requirements_(US$,_million)",523
PSE,oPt,"Country_response_plan_requirements_(US$,_million)",513
GTM,Guatemala,"Country_response_plan_requirements_(US$,_million)",56
MMR,Myanmar,"Country_response_plan_requirements_(US$,_million)",386
BFA,Burkina Faso,"Country_response_plan_requirements_(US$,_million)",608
KEN,Kenya,"Country_response_plan_requirements_(US$,_million)",139
IRN,Iran,"Country_response_plan_requirements_(US$,_million)",
UKR,Ukraine,"Country_response_plan_requirements_(US$,_million)",168
HND,Honduras,"Country_response_plan_requirements_(US$,_million)",156
LBN,Lebanon,"Country_response_plan_requirements_(US$,_million)",168
CAF,CAR,"Country_response_plan_requirements_(US$,_million)",445
MWI,Malawi,"Country_response_plan_requirements_(US$,_million)",
ERI,Eritrea,"Country_response_plan_requirements_(US$,_million)",
PHL,Philippines,"Country_response_plan_requirements_(US$,_million)",
TUR,Turkey,"Country_response_plan_requirements_(US$,_million)",
BDI,Burundi,"Country_response_plan_requirements_(US$,_million)",195
SLV,El Salvador,"Country_response_plan_requirements_(US$,_million)",42
ZMB,Zambia,"Country_response_plan_requirements_(US$,_million)",
MDG,Madagascar,"Country_response_plan_requirements_(US$,_million)",166
UGA,Uganda,"Country_response_plan_requirements_(US$,_million)",
JOR,Jordan,"Country_response_plan_requirements_(US$,_million)",
EGY,Egypt,"Country_response_plan_requirements_(US$,_million)",
BGD,Bangladesh,"Country_response_plan_requirements_(US$,_million)",
AGO,Angola,"Country_response_plan_requirements_(US$,_million)",
PER,Peru,"Country_response_plan_requirements_(US$,_million)",
LBY,Libya,"Country_response_plan_requirements_(US$,_million)",189
COG,Congo,"Country_response_plan_requirements_(US$,_million)",
VNM,Viet Nam,"Country_response_plan_requirements_(US$,_million)",
YEM,Yemen,"Country_response_plan_funding_(US$,_million)",2425
ETH,Ethiopia,"Country_response_plan_funding_(US$,_million)",1377
COD,DRC,"Country_response_plan_funding_(US$,_million)",876
AFG,Afghanistan,"Country_response_plan_funding_(US$,_million)",2075
NGA,Nigeria,"Country_response_plan_funding_(US$,_million)",725
VEN,Venezuela,"Country_response_plan_funding_(US$,_million)",279
SDN,Sudan,"Country_response_plan_funding_(US$,_million)",732
SYR,Syria,"Country_response_plan_funding_(US$,_million)",2119
PAK,Pakistan,"Country_response_plan_funding_(US$,_million)",342
PRK,DPR Korea,"Country_response_plan_funding_(US$,_million)",
COL,Colombia,"Country_response_plan_funding_(US$,_million)",84
SSD,South Sudan,"Country_response_plan_funding_(US$,_million)",1156
SOM,Somalia,"Country_response_plan_funding_(US$,_million)",850
ZWE,Zimbabwe,"Country_response_plan_funding_(US$,_million)",96
TCD,Chad,"Country_response_plan_funding_(US$,_million)",214
MLI,Mali,"Country_response_plan_funding_(US$,_million)",217
HTI,Haiti,"Country_response_plan_funding_(US$,_million)",145
NPL,Nepal,"Country_response_plan_funding_(US$,_million)",7
CMR,Cameroon,"Country_response_plan_funding_(US$,_million)",196
IRQ,Iraq,"Country_response_plan_funding_(US$,_million)",393
MOZ,Mozambique,"Country_response_plan_funding_(US$,_million)",223
NER,Niger,"Country_response_plan_funding_(US$,_million)",269
PSE,oPt,"Country_response_plan_funding_(US$,_million)",436
GTM,Guatemala,"Country_response_plan_funding_(US$,_million)",35
MMR,Myanmar,"Country_response_plan_funding_(US$,_million)",256
BFA,Burkina Faso,"Country_response_plan_funding_(US$,_million)",299
KEN,Kenya,"Country_response_plan_funding_(US$,_million)",27
IRN,Iran,"Country_response_plan_funding_(US$,_million)",
UKR,Ukraine,"Country_response_plan_funding_(US$,_million)",108
HND,Honduras,"Country_response_plan_funding_(US$,_million)",104
LBN,Lebanon,"Country_response_plan_funding_(US$,_million)",124
CAF,CAR,"Country_response_plan_funding_(US$,_million)",401
MWI,Malawi,"Country_response_plan_funding_(US$,_million)",
ERI,Eritrea,"Country_response_plan_funding_(US$,_million)",
PHL,Philippines,"Country_response_plan_funding_(US$,_million)",
TUR,Turkey,"Country_response_plan_funding_(US$,_million)",
BDI,Burundi,"Country_response_plan_funding_(US$,_million)",88
SLV,El Salvador,"Country_response_plan_funding_(US$,_million)",22
ZMB,Zambia,"Country_response_plan_funding_(US$,_million)",
MDG,Madagascar,"Country_response_plan_funding_(US$,_million)",127
UGA,Uganda,"Country_response_plan_funding_(US$,_million)",
JOR,Jordan,"Country_response_plan_funding_(US$,_million)",
EGY,Egypt,"Country_response_plan_funding_(US$,_million)",
BGD,Bangladesh,"Country_response_plan_funding_(US$,_million)",
AGO,Angola,"Country_response_plan_funding_(US$,_million)",
PER,Peru,"Country_response_plan_funding_(US$,_million)",
LBY,Libya,"Country_response_plan_funding_(US$,_million)",158
COG,Congo,"Country_response_plan_funding_(US$,_million)",
VNM,Viet Nam,"Country_response_plan_funding_(US$,_million)",
YEM,Yemen,Country_response_plan_coverage_(%),63
ETH,Ethiopia,Country_response_plan_coverage_(%),56
COD,DRC,Country_response_plan_coverage_(%),44
AFG,Afghanistan,Country_response_plan_coverage_(%),141
NGA,Nigeria,Country_response_plan_coverage_(%),72
VEN,Venezuela,Country_response_plan_coverage_(%),39
SDN,Sudan,Country_response_plan_coverage_(%),38
SYR,Syria,Country_response_plan_coverage_(%),50
PAK,Pakistan,Country_response_plan_coverage_(%),103
PRK,DPR Korea,Country_response_plan_coverage_(%),
COL,Colombia,Country_response_plan_coverage_(%),48
SSD,South Sudan,Country_response_plan_coverage_(%),69
SOM,Somalia,Country_response_plan_coverage_(%),78
ZWE,Zimbabwe,Country_response_plan_coverage_(%),19
TCD,Chad,Country_response_plan_coverage_(%),35
MLI,Mali,Country_response_plan_coverage_(%),39
HTI,Haiti,Country_response_plan_coverage_(%),34
NPL,Nepal,Country_response_plan_coverage_(%),9
CMR,Cameroon,Country_response_plan_coverage_(%),54
IRQ,Iraq,Country_response_plan_coverage_(%),65
MOZ,Mozambique,Country_response_plan_coverage_(%),88
NER,Niger,Country_response_plan_coverage_(%),51
PSE,oPt,Country_response_plan_coverage_(%),85
GTM,Guatemala,Country_response_plan_coverage_(%),62
MMR,Myanmar,Country_response_plan_coverage_(%),66
BFA,Burkina Faso,Country_response_plan_coverage_(%),49
KEN,Kenya,Country_response_plan_coverage_(%),19
IRN,Iran,Country_response_plan_coverage_(%),
UKR,Ukraine,Country_response_plan_coverage_(%),65
HND,Honduras,Country_response_plan_coverage_(%),66
LBN,Lebanon,Country_response_plan_coverage_(%),74
CAF,CAR,Country_response_plan_coverage_(%),90
MWI,Malawi,Country_response_plan_coverage_(%),
ERI,Eritrea,Country_response_plan_coverage_(%),
PHL,Philippines,Country_response_plan_coverage_(%),
TUR,Turkey,Country_response_plan_coverage_(%),
BDI,Burundi,Country_response_plan_coverage_(%),45
SLV,El Salvador,Country_response_plan_coverage_(%),53
ZMB,Zambia,Country_response_plan_coverage_(%),
MDG,Madagascar,Country_response_plan_coverage_(%),76
UGA,Uganda,Country_response_plan_coverage_(%),
