Donor,Year,Display,Series,Value
Belgium,2013,Volumes,Multilateral through UN and others,46.2
Belgium,2013,Volumes,Contributions to EU institutions' humanitarian assistance,76.2
Belgium,2014,Volumes,Bilateral,60.1
Belgium,2014,Volumes,Multilateral through UN and others,64.7
Belgium,2014,Volumes,Contributions to EU institutions' humanitarian assistance,87.6
Belgium,2015,Volumes,Bilateral,165.2
Belgium,2015,Volumes,Multilateral through UN and others,42.6
Belgium,2015,Volumes,Contributions to EU institutions' humanitarian assistance,80
Belgium,2016,Volumes,Bilateral,283.9
Belgium,2016,Volumes,Multilateral through UN and others,42.7
Belgium,2016,Volumes,Contributions to EU institutions' humanitarian assistance,145.9
Belgium,2017,Volumes,Bilateral,188.5
Belgium,2017,Volumes,Multilateral through UN and others,48.1
Belgium,2017,Volumes,Contributions to EU institutions' humanitarian assistance,123.8
Belgium,2018,Volumes,Bilateral,202.5
Belgium,2018,Volumes,Multilateral through UN and others,48.2
Belgium,2018,Volumes,Contributions to EU institutions' humanitarian assistance,99.6
Belgium,2019,Volumes,Bilateral,170.4
Belgium,2019,Volumes,Multilateral through UN and others,68.8
Belgium,2019,Volumes,Contributions to EU institutions' humanitarian assistance,95.9
Belgium,2020,Volumes,Bilateral,199.6
Belgium,2020,Volumes,Multilateral through UN and others,73.5
Belgium,2020,Volumes,Contributions to EU institutions' humanitarian assistance,111.9
Belgium,2021,Volumes,Bilateral,182.2
Belgium,2021,Volumes,Multilateral through UN and others,74.5
Belgium,2021,Volumes,Contributions to EU institutions' humanitarian assistance,134.2
Belgium,2022,Volumes,Bilateral,209.9
Belgium,2022,Volumes,Multilateral through UN and others,76.1
Belgium,2022,Volumes,Contributions to EU institutions' humanitarian assistance,173.4
Canada,2013,Volumes,Bilateral,561.8
Canada,2013,Volumes,Multilateral through UN and others,74.3
Canada,2013,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Canada,2014,Volumes,Bilateral,665.7
Canada,2014,Volumes,Multilateral through UN and others,66.5
Canada,2014,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Canada,2015,Volumes,Bilateral,797.5
Canada,2015,Volumes,Multilateral through UN and others,83.8
Canada,2015,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Canada,2016,Volumes,Bilateral,599.6
Canada,2016,Volumes,Multilateral through UN and others,98.2
Canada,2016,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Canada,2017,Volumes,Bilateral,749
Canada,2017,Volumes,Multilateral through UN and others,106.3
Canada,2017,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Canada,2018,Volumes,Bilateral,754.9
Canada,2018,Volumes,Multilateral through UN and others,106.7
Canada,2018,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Canada,2019,Volumes,Bilateral,656
Canada,2019,Volumes,Multilateral through UN and others,110.9
Canada,2019,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Canada,2020,Volumes,Bilateral,689.5
Canada,2020,Volumes,Multilateral through UN and others,111.1
Canada,2020,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Canada,2021,Volumes,Bilateral,798
Canada,2021,Volumes,Multilateral through UN and others,103.6
Canada,2021,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Canada,2022,Volumes,Bilateral,968.6
Canada,2022,Volumes,Multilateral through UN and others,124.9
Canada,2022,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Czech Republic,2013,Volumes,Bilateral,5.3
Czech Republic,2013,Volumes,Multilateral through UN and others,0.5
Czech Republic,2013,Volumes,Contributions to EU institutions' humanitarian assistance,19.6
Czech Republic,2014,Volumes,Bilateral,8.2
Czech Republic,2014,Volumes,Multilateral through UN and others,0.3
Czech Republic,2014,Volumes,Contributions to EU institutions' humanitarian assistance,24.5
Czech Republic,2015,Volumes,Bilateral,11.4
Czech Republic,2015,Volumes,Multilateral through UN and others,0.6
Czech Republic,2015,Volumes,Contributions to EU institutions' humanitarian assistance,20.6
Czech Republic,2016,Volumes,Bilateral,16.1
Czech Republic,2016,Volumes,Multilateral through UN and others,0.5
Czech Republic,2016,Volumes,Contributions to EU institutions' humanitarian assistance,47.7
Czech Republic,2017,Volumes,Bilateral,9.4
Czech Republic,2017,Volumes,Multilateral through UN and others,1.2
Czech Republic,2017,Volumes,Contributions to EU institutions' humanitarian assistance,36.7
Czech Republic,2018,Volumes,Bilateral,19
Czech Republic,2018,Volumes,Multilateral through UN and others,3.1
Czech Republic,2018,Volumes,Contributions to EU institutions' humanitarian assistance,31
Czech Republic,2019,Volumes,Bilateral,18.2
Czech Republic,2019,Volumes,Multilateral through UN and others,0.8
Czech Republic,2019,Volumes,Contributions to EU institutions' humanitarian assistance,29.9
Czech Republic,2020,Volumes,Bilateral,21.1
Czech Republic,2020,Volumes,Multilateral through UN and others,0.8
Czech Republic,2020,Volumes,Contributions to EU institutions' humanitarian assistance,34.1
Czech Republic,2021,Volumes,Bilateral,15.5
Czech Republic,2021,Volumes,Multilateral through UN and others,0.6
Czech Republic,2021,Volumes,Contributions to EU institutions' humanitarian assistance,46
Czech Republic,2022,Volumes,Bilateral,35.7
Czech Republic,2022,Volumes,Multilateral through UN and others,0.8
Czech Republic,2022,Volumes,Contributions to EU institutions' humanitarian assistance,49.8
Denmark,2013,Volumes,Bilateral,235.8
Denmark,2013,Volumes,Multilateral through UN and others,85.5
Denmark,2013,Volumes,Contributions to EU institutions' humanitarian assistance,38.8
Denmark,2014,Volumes,Bilateral,265.8
Denmark,2014,Volumes,Multilateral through UN and others,126.8
Denmark,2014,Volumes,Contributions to EU institutions' humanitarian assistance,45.1
Denmark,2015,Volumes,Bilateral,211.9
Denmark,2015,Volumes,Multilateral through UN and others,105.9
Denmark,2015,Volumes,Contributions to EU institutions' humanitarian assistance,40.1
Denmark,2016,Volumes,Bilateral,282.7
Denmark,2016,Volumes,Multilateral through UN and others,128.1
Denmark,2016,Volumes,Contributions to EU institutions' humanitarian assistance,67.9
Denmark,2017,Volumes,Bilateral,402.8
Denmark,2017,Volumes,Multilateral through UN and others,136.6
Denmark,2017,Volumes,Contributions to EU institutions' humanitarian assistance,55
Denmark,2018,Volumes,Bilateral,390.1
Denmark,2018,Volumes,Multilateral through UN and others,121
Denmark,2018,Volumes,Contributions to EU institutions' humanitarian assistance,50
Denmark,2019,Volumes,Bilateral,461.1
Denmark,2019,Volumes,Multilateral through UN and others,119
Denmark,2019,Volumes,Contributions to EU institutions' humanitarian assistance,48.4
Denmark,2020,Volumes,Bilateral,404.5
Denmark,2020,Volumes,Multilateral through UN and others,123.1
Denmark,2020,Volumes,Contributions to EU institutions' humanitarian assistance,58.6
Denmark,2021,Volumes,Bilateral,411.1
Denmark,2021,Volumes,Multilateral through UN and others,119.6
Denmark,2021,Volumes,Contributions to EU institutions' humanitarian assistance,69.3
Denmark,2022,Volumes,Bilateral,452.8
Denmark,2022,Volumes,Multilateral through UN and others,32.6
Denmark,2022,Volumes,Contributions to EU institutions' humanitarian assistance,81.5
EU institutions,2013,Volumes,Bilateral,"1,843.30"
EU institutions,2013,Volumes,Multilateral through UN and others,123.2
EU institutions,2013,Volumes,Contributions to EU institutions' humanitarian assistance, -   
EU institutions,2014,Volumes,Bilateral,"2,267.10"
EU institutions,2014,Volumes,Multilateral through UN and others,6.1
EU institutions,2014,Volumes,Contributions to EU institutions' humanitarian assistance, -   
EU institutions,2015,Volumes,Bilateral,"2,009.20"
EU institutions,2015,Volumes,Multilateral through UN and others,0.2
EU institutions,2015,Volumes,Contributions to EU institutions' humanitarian assistance, -   
EU institutions,2016,Volumes,Bilateral,"3,631.10"
EU institutions,2016,Volumes,Multilateral through UN and others, -   
EU institutions,2016,Volumes,Contributions to EU institutions' humanitarian assistance, -   
EU institutions,2017,Volumes,Bilateral,"2,661.00"
EU institutions,2017,Volumes,Multilateral through UN and others,129.5
EU institutions,2017,Volumes,Contributions to EU institutions' humanitarian assistance, -   
EU institutions,2018,Volumes,Bilateral,"2,392.80"
EU institutions,2018,Volumes,Multilateral through UN and others,133.9
EU institutions,2018,Volumes,Contributions to EU institutions' humanitarian assistance, -   
EU institutions,2019,Volumes,Bilateral,"2,352.10"
EU institutions,2019,Volumes,Multilateral through UN and others,126.6
EU institutions,2019,Volumes,Contributions to EU institutions' humanitarian assistance, -   
EU institutions,2020,Volumes,Bilateral,"2,735.10"
EU institutions,2020,Volumes,Multilateral through UN and others,104.6
EU institutions,2020,Volumes,Contributions to EU institutions' humanitarian assistance, -   
EU institutions,2021,Volumes,Bilateral,"3,410.40"
EU institutions,2021,Volumes,Multilateral through UN and others,60
EU institutions,2021,Volumes,Contributions to EU institutions' humanitarian assistance, -   
EU institutions,2022,Volumes,Bilateral,"4,095.00"
EU institutions,2022,Volumes,Multilateral through UN and others, -   
EU institutions,2022,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Finland,2013,Volumes,Bilateral,108.2
Finland,2013,Volumes,Multilateral through UN and others,47.4
Finland,2013,Volumes,Contributions to EU institutions' humanitarian assistance,29.9
Finland,2014,Volumes,Bilateral,123.9
Finland,2014,Volumes,Multilateral through UN and others,45.3
Finland,2014,Volumes,Contributions to EU institutions' humanitarian assistance,32.8
Finland,2015,Volumes,Bilateral,102.3
Finland,2015,Volumes,Multilateral through UN and others,57
Finland,2015,Volumes,Contributions to EU institutions' humanitarian assistance,28.7
Finland,2016,Volumes,Bilateral,93.9
Finland,2016,Volumes,Multilateral through UN and others,44.6
Finland,2016,Volumes,Contributions to EU institutions' humanitarian assistance,55.9
Finland,2017,Volumes,Bilateral,82.5
Finland,2017,Volumes,Multilateral through UN and others,48.9
Finland,2017,Volumes,Contributions to EU institutions' humanitarian assistance,48.8
Finland,2018,Volumes,Bilateral,58.5
Finland,2018,Volumes,Multilateral through UN and others,58.1
Finland,2018,Volumes,Contributions to EU institutions' humanitarian assistance,38.4
Finland,2019,Volumes,Bilateral,62.5
Finland,2019,Volumes,Multilateral through UN and others,47
Finland,2019,Volumes,Contributions to EU institutions' humanitarian assistance,36.7
Finland,2020,Volumes,Bilateral,103
Finland,2020,Volumes,Multilateral through UN and others,64.3
Finland,2020,Volumes,Contributions to EU institutions' humanitarian assistance,45
Finland,2021,Volumes,Bilateral,89.5
Finland,2021,Volumes,Multilateral through UN and others,63.9
Finland,2021,Volumes,Contributions to EU institutions' humanitarian assistance,54.8
Finland,2022,Volumes,Bilateral,108.2
Finland,2022,Volumes,Multilateral through UN and others,47
Finland,2022,Volumes,Contributions to EU institutions' humanitarian assistance,63.7
France,2013,Volumes,Bilateral,40.2
France,2013,Volumes,Multilateral through UN and others,43.6
France,2013,Volumes,Contributions to EU institutions' humanitarian assistance,333.6
France,2014,Volumes,Bilateral,48.7
France,2014,Volumes,Multilateral through UN and others,44.8
France,2014,Volumes,Contributions to EU institutions' humanitarian assistance,386.1
France,2015,Volumes,Bilateral,43.9
France,2015,Volumes,Multilateral through UN and others,108.1
France,2015,Volumes,Contributions to EU institutions' humanitarian assistance,322.4
France,2016,Volumes,Bilateral,180.9
France,2016,Volumes,Multilateral through UN and others,95.1
France,2016,Volumes,Contributions to EU institutions' humanitarian assistance,627.1
France,2017,Volumes,Bilateral,96.2
France,2017,Volumes,Multilateral through UN and others,97.7
France,2017,Volumes,Contributions to EU institutions' humanitarian assistance,464.3
France,2018,Volumes,Bilateral,114.7
France,2018,Volumes,Multilateral through UN and others,135.8
France,2018,Volumes,Contributions to EU institutions' humanitarian assistance,424.3
France,2019,Volumes,Bilateral,172.1
France,2019,Volumes,Multilateral through UN and others,110.1
France,2019,Volumes,Contributions to EU institutions' humanitarian assistance,398.7
France,2020,Volumes,Bilateral,131.3
France,2020,Volumes,Multilateral through UN and others,116.9
France,2020,Volumes,Contributions to EU institutions' humanitarian assistance,476
France,2021,Volumes,Bilateral,93.5
France,2021,Volumes,Multilateral through UN and others,179.5
France,2021,Volumes,Contributions to EU institutions' humanitarian assistance,584.3
France,2022,Volumes,Bilateral,775.5
France,2022,Volumes,Multilateral through UN and others,9.7
France,2022,Volumes,Contributions to EU institutions' humanitarian assistance,718.2
Germany,2013,Volumes,Bilateral,604.2
Germany,2013,Volumes,Multilateral through UN and others,90.6
Germany,2013,Volumes,Contributions to EU institutions' humanitarian assistance,409.8
Germany,2014,Volumes,Bilateral,892.4
Germany,2014,Volumes,Multilateral through UN and others,103.4
Germany,2014,Volumes,Contributions to EU institutions' humanitarian assistance,497.2
Germany,2015,Volumes,Bilateral,976.1
Germany,2015,Volumes,Multilateral through UN and others,117.3
Germany,2015,Volumes,Contributions to EU institutions' humanitarian assistance,427.5
Germany,2016,Volumes,Bilateral,"2,413.60"
Germany,2016,Volumes,Multilateral through UN and others,156.4
Germany,2016,Volumes,Contributions to EU institutions' humanitarian assistance,723
Germany,2017,Volumes,Bilateral,"3,153.10"
Germany,2017,Volumes,Multilateral through UN and others,210.5
Germany,2017,Volumes,Contributions to EU institutions' humanitarian assistance,589.4
Germany,2018,Volumes,Bilateral,"2,971.00"
Germany,2018,Volumes,Multilateral through UN and others,263.7
Germany,2018,Volumes,Contributions to EU institutions' humanitarian assistance,537.8
Germany,2019,Volumes,Bilateral,"2,449.00"
Germany,2019,Volumes,Multilateral through UN and others,290.8
Germany,2019,Volumes,Contributions to EU institutions' humanitarian assistance,512.1
Germany,2020,Volumes,Bilateral,"2,231.00"
Germany,2020,Volumes,Multilateral through UN and others,347.2
Germany,2020,Volumes,Contributions to EU institutions' humanitarian assistance,609.5
Germany,2021,Volumes,Bilateral,"2,895.90"
Germany,2021,Volumes,Multilateral through UN and others,355.3
Germany,2021,Volumes,Contributions to EU institutions' humanitarian assistance,746.4
Germany,2022,Volumes,Bilateral,"5,096.10"
Germany,2022,Volumes,Multilateral through UN and others,155.8
Germany,2022,Volumes,Contributions to EU institutions' humanitarian assistance,915.3
Greece,2013,Volumes,Bilateral,0.2
Greece,2013,Volumes,Multilateral through UN and others,0.2
Greece,2013,Volumes,Contributions to EU institutions' humanitarian assistance,23.8
Greece,2014,Volumes,Bilateral,1
Greece,2014,Volumes,Multilateral through UN and others,0.2
Greece,2014,Volumes,Contributions to EU institutions' humanitarian assistance,27.5
Greece,2015,Volumes,Bilateral,0.1
Greece,2015,Volumes,Multilateral through UN and others,0.3
Greece,2015,Volumes,Contributions to EU institutions' humanitarian assistance,24.6
Greece,2016,Volumes,Bilateral,8.7
Greece,2016,Volumes,Multilateral through UN and others,0.2
Greece,2016,Volumes,Contributions to EU institutions' humanitarian assistance,46.3
Greece,2017,Volumes,Bilateral,13.6
Greece,2017,Volumes,Multilateral through UN and others,1
Greece,2017,Volumes,Contributions to EU institutions' humanitarian assistance,35.1
Greece,2018,Volumes,Bilateral,6.7
Greece,2018,Volumes,Multilateral through UN and others,0.3
Greece,2018,Volumes,Contributions to EU institutions' humanitarian assistance,32.8
Greece,2019,Volumes,Bilateral,4.6
Greece,2019,Volumes,Multilateral through UN and others,0.2
Greece,2019,Volumes,Contributions to EU institutions' humanitarian assistance,30.7
Greece,2020,Volumes,Bilateral,4.5
Greece,2020,Volumes,Multilateral through UN and others,0.3
Greece,2020,Volumes,Contributions to EU institutions' humanitarian assistance,37.4
Greece,2021,Volumes,Bilateral,3.2
Greece,2021,Volumes,Multilateral through UN and others,0.2
Greece,2021,Volumes,Contributions to EU institutions' humanitarian assistance,42.6
Greece,2022,Volumes,Bilateral,1
Greece,2022,Volumes,Multilateral through UN and others, -   
Greece,2022,Volumes,Contributions to EU institutions' humanitarian assistance,53.9
Hungary,2013,Volumes,Bilateral, -   
Hungary,2013,Volumes,Multilateral through UN and others,0.9
Hungary,2013,Volumes,Contributions to EU institutions' humanitarian assistance,11.3
Hungary,2014,Volumes,Bilateral,0.6
Hungary,2014,Volumes,Multilateral through UN and others,0.3
Hungary,2014,Volumes,Contributions to EU institutions' humanitarian assistance,16.2
Hungary,2015,Volumes,Bilateral,1.5
Hungary,2015,Volumes,Multilateral through UN and others,0.9
Hungary,2015,Volumes,Contributions to EU institutions' humanitarian assistance,14.7
Hungary,2016,Volumes,Bilateral,0.5
Hungary,2016,Volumes,Multilateral through UN and others,0.4
Hungary,2016,Volumes,Contributions to EU institutions' humanitarian assistance,30.7
Hungary,2017,Volumes,Bilateral,0.2
Hungary,2017,Volumes,Multilateral through UN and others,0.4
Hungary,2017,Volumes,Contributions to EU institutions' humanitarian assistance,16.5
Hungary,2018,Volumes,Bilateral,7.6
Hungary,2018,Volumes,Multilateral through UN and others,2.3
Hungary,2018,Volumes,Contributions to EU institutions' humanitarian assistance,19.6
Hungary,2019,Volumes,Bilateral,11.2
Hungary,2019,Volumes,Multilateral through UN and others,0.5
Hungary,2019,Volumes,Contributions to EU institutions' humanitarian assistance,19.8
Hungary,2020,Volumes,Bilateral,8.3
Hungary,2020,Volumes,Multilateral through UN and others,0.5
Hungary,2020,Volumes,Contributions to EU institutions' humanitarian assistance,28
Hungary,2021,Volumes,Bilateral,4.8
Hungary,2021,Volumes,Multilateral through UN and others,0.5
Hungary,2021,Volumes,Contributions to EU institutions' humanitarian assistance,28
Hungary,2022,Volumes,Bilateral,44.6
Hungary,2022,Volumes,Multilateral through UN and others,1.3
Hungary,2022,Volumes,Contributions to EU institutions' humanitarian assistance,4.4
Iceland,2013,Volumes,Bilateral, -   
Iceland,2013,Volumes,Multilateral through UN and others,0.5
Iceland,2013,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Iceland,2014,Volumes,Bilateral,2.3
Iceland,2014,Volumes,Multilateral through UN and others,0.4
Iceland,2014,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Iceland,2015,Volumes,Bilateral,4.6
Iceland,2015,Volumes,Multilateral through UN and others,0.6
Iceland,2015,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Iceland,2016,Volumes,Bilateral,7.2
Iceland,2016,Volumes,Multilateral through UN and others,0.7
Iceland,2016,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Iceland,2017,Volumes,Bilateral,4.4
Iceland,2017,Volumes,Multilateral through UN and others,2.5
Iceland,2017,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Iceland,2018,Volumes,Bilateral,7
Iceland,2018,Volumes,Multilateral through UN and others,2.4
Iceland,2018,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Iceland,2019,Volumes,Bilateral,5.8
Iceland,2019,Volumes,Multilateral through UN and others,2.5
Iceland,2019,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Iceland,2020,Volumes,Bilateral,5.2
Iceland,2020,Volumes,Multilateral through UN and others,3.1
Iceland,2020,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Iceland,2021,Volumes,Bilateral,8.1
Iceland,2021,Volumes,Multilateral through UN and others,2.8
Iceland,2021,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Iceland,2022,Volumes,Bilateral,12.9
Iceland,2022,Volumes,Multilateral through UN and others,5.6
Iceland,2022,Volumes,Contributions to EU institutions' humanitarian assistance, -   
Ireland,2013,Volumes,Bilateral,104.4
Ireland,2013,Volumes,Multilateral through UN and others,37
Ireland,2013,Volumes,Contributions to EU institutions' humanitarian assistance,20.5
Ireland,2014,Volumes,Bilateral,104
Ireland,2014,Volumes,Multilateral through UN and others,39.2
Ireland,2014,Volumes,Contributions to EU institutions' humanitarian assistance,24.9
Ireland,2015,Volumes,Bilateral,100.3
Ireland,2015,Volumes,Multilateral through UN and others,50.3
Ireland,2015,Volumes,Contributions to EU institutions' humanitarian assistance,22.9
Ireland,2016,Volumes,Bilateral,125.3
Ireland,2016,Volumes,Multilateral through UN and others,73.6
Ireland,2016,Volumes,Contributions to EU institutions' humanitarian assistance,50.3
Ireland,2017,Volumes,Bilateral,133
Ireland,2017,Volumes,Multilateral through UN and others,48.6
Ireland,2017,Volumes,Contributions to EU institutions' humanitarian assistance,38.2
Ireland,2018,Volumes,Bilateral,129.3
Ireland,2018,Volumes,Multilateral through UN and others,60.9
Ireland,2018,Volumes,Contributions to EU institutions' humanitarian assistance,36
Ireland,2019,Volumes,Bilateral,128.4
Ireland,2019,Volumes,Multilateral through UN and others,56.3
Ireland,2019,Volumes,Contributions to EU institutions' humanitarian assistance,33.9
Ireland,2020,Volumes,Bilateral,134
Ireland,2020,Volumes,Multilateral through UN and others,65.3
Ireland,2020,Volumes,Contributions to EU institutions' humanitarian assistance,42
Ireland,2021,Volumes,Bilateral,155.8
Ireland,2021,Volumes,Multilateral through UN and others,62.9
Ireland,2021,Volumes,Contributions to EU institutions' humanitarian assistance,58.5
Ireland,2022,Volumes,Bilateral,205.4
Ireland,2022,Volumes,Multilateral through UN and others,72.1
Ireland,2022,Volumes,Contributions to EU institutions' humanitarian assistance,81.8
Italy,2013,Volumes,Bilateral,63.8
Italy,2013,Volumes,Multilateral through UN and others,30.9
Italy,2013,Volumes,Contributions to EU institutions' humanitarian assistance,232.8
Italy,2014,Volumes,Bilateral,70.9
Italy,2014,Volumes,Multilateral through UN and others,25.4
Italy,2014,Volumes,Contributions to EU institutions' humanitarian assistance,268.7
Italy,2015,Volumes,Bilateral,124.6
Italy,2015,Volumes,Multilateral through UN and others,28
Italy,2015,Volumes,Contributions to EU institutions' humanitarian assistance,233.2
Italy,2016,Volumes,Bilateral,193.7
Italy,2016,Volumes,Multilateral through UN and others,38.4
Italy,2016,Volumes,Contributions to EU institutions' humanitarian assistance,443.6
Italy,2017,Volumes,Bilateral,312.5
Italy,2017,Volumes,Multilateral through UN and others,52.2
Italy,2017,Volumes,Contributions to EU institutions' humanitarian assistance,332.5
Italy,2018,Volumes,Bilateral,249.4
Italy,2018,Volumes,Multilateral through UN and others,55.1
Italy,2018,Volumes,Contributions to EU institutions' humanitarian assistance,300.1
Italy,2019,Volumes,Bilateral,173.3
Italy,2019,Volumes,Multilateral through UN and others,59.5
Italy,2019,Volumes,Contributions to EU institutions' humanitarian assistance,286.9
Italy,2020,Volumes,Bilateral,181.7
Italy,2020,Volumes,Multilateral through UN and others,55.5
Italy,2020,Volumes,Contributions to EU institutions' humanitarian assistance,333.1
Italy,2021,Volumes,Bilateral,229.6
Italy,2021,Volumes,Multilateral through UN and others,70.1
Italy,2021,Volumes,Contributions to EU institutions' humanitarian assistance,414.6
Italy,2022,Volumes,Bilateral,419
Italy,2022,Volumes,Multilateral through UN and others,74
Italy,2022,Volumes,Contributions to EU institutions' humanitarian assistance,522.1
Japan,2013,Volumes,Bilateral,769
Japan,2013,Volumes,Multilateral through UN and others,73
